job_name,salary_raw,salary_min,salary_max,company_name,company_type,industry,city,experience,education,job_url,source,soe_category,tags
文献修复师（古文献方向）,6000-8000元,6000,8000,北京国图创新文化服务有限公司,国企,广播/影视,北京,1-3年,学历不限,http://www.zhaopin.com/jobdetail/CC246223230J40463676715.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['古文献', '文献修复']"
维修保障分析（北京或西安）,1.2-2.4万,12000,24000,金航数码科技有限责任公司,国企,IT服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000402820J40808866602.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,[]
酒店销售员,1.5-2万,15000,20000,北京中影大酒店有限公司,国企,餐饮服务,北京,1-3年,大专,http://www.zhaopin.com/jobdetail/CC692633520J40830916009.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['酒店销售员']
开关电源工程师,1.5-3万,15000,30000,北京中北创新科技发展有限公司,国企,电子/半导体/集成电路,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC121031530J40812791207.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['电源开发', '电源', '研发']"
网站编辑,7000-9000元,7000,9000,工信通(北京)信息技术有限公司,国企,IT服务,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC574573320J40803385213.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['网站编辑', '文字编辑']"
前端开发工程师,1.3-1.7万,13000,17000,北京奈亚信息技术有限公司,国企,计算机软件,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC130401720J40755868101.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['HTML5', 'JavaScript', 'jQuery', 'Bootstrap', 'Vue', 'MVVM']"
秘书（需要会印尼语）,1.3-1.5万·13薪,13000,15000,中智(北京)经济技术合作有限公司,国企,人力资源服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1293627340J40817705311.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['资料管理', '考勤管理', '会务活动', '英语', '印尼语', '五险一金', '周末双休', '法定节假日休', '带薪年假', '节日福利']"
建筑技术质量（2026年应届毕业生）,8000-12000元·13薪,8000,12000,北京市建筑工程装饰集团有限公司,国企,房地产开发,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC245860110J40943670004.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,"['工程管理', '智能建造', '土木工程']"
项目产品经理,8000-16000元·13薪,8000,16000,古联(北京)数字传媒科技有限公司,国企,新闻/出版,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC306477580J40853726213.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,[]
园区产业招商专员,8000-10000元,8000,10000,北京市神舟力行人力资源管理有限公司,国企,人力资源服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC133824830J40782071316.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,"['政府客户', '企业客户', '地推销售']"
化工研发工程师,1.5-2.5万,15000,25000,北京北大先锋科技股份有限公司,国企,石油/石化,北京,经验不限,硕士,http://www.zhaopin.com/jobdetail/CC131513930J40820256109.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['化工产品', '吸附剂']"
给排水工程师-TOD建筑与产业发展研究院(J10560),8000-10000元,8000,10000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40484358313.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,['公共建筑']
网络制播,8000-10000元,8000,10000,中视科华有限公司北京技术服务分公司,国企,广播/影视,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC519847620J40788175207.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['技术支持']
中信出版集团-内容中心-短视频运营（抖音）,1-1.2万,10000,12000,北京中信书店有限责任公司,国企,零售/批发,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC419477310J40840037305.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['抖音', '小红书', '微信视频号']"
编辑,7000-9000元,7000,9000,国际在线,国企,互联网,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC527407320J40910629315.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['文字编辑']
新媒体编辑实习生（政务）,80-120元/天,80,120,光明网传媒有限公司,国企,广播/影视,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC339236110J40854085504.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['新闻类']
2B软件销售总监-数字科技研究院(J10635),1.5-2.5万,15000,25000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40745817313.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,['软件销售']
法务岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843947005.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国有银行,"['国营企业', 'A类法律职业资格证', '合同事务', '知识产权业务']"
转向管柱开发工程师,1-2万,10000,20000,北京海纳川汽车部件股份有限公司北京分公司,国企,汽车零部件,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC487249320J40822776101.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['底盘系统']
销售代表（医美产品推广）,1-1.5万,10000,15000,北京科园信海医药经营有限公司,国企,医药批发/零售,北京,3-5年,大专,http://www.zhaopin.com/jobdetail/CC133012800J40876523804.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['皮肤科', '注射类', '皮肤类']"
安全管理岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40764021505.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国有银行,[]
出纳行政专员,5000-6000元,5000,6000,北京华辰联众科技有限公司,国企,居民服务,北京,5-10年,大专,http://www.zhaopin.com/jobdetail/CC292999210J40824354807.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['会计初级职称', '周末双休', '五险一金']"
北京区域经理,7000-12000元,7000,12000,北京首都酒业有限公司,国企,快速消费品,北京,3-5年,大专,http://www.zhaopin.com/jobdetail/CC330577410J40821831701.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['招商加盟', '政府客户', 'KA大客户']"
诚招电工 月入6000（包吃 五险一金）,5000-6000元,5000,6000,北京保汇物业管理有限公司,国企,物业管理,北京,3-5年,学历不限,http://www.zhaopin.com/jobdetail/CC493231130J40178901315.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['高压电工', '特种作业操作证 （电工）', '电工进网作业许可证（高压）']"
机电工程师-数字设计咨询创研室(J10556),1-2万,10000,20000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40478988913.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,"['公共建筑', '高层建筑']"
酒店前厅接待员（广运宾馆分店）,4000-5000元,4000,5000,广州融通天河宾馆有限责任公司,国企,餐饮服务,广州,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1227698760J40828093502.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['八小时工作制', '五险一金', '加班费', '带薪年假', '宿舍有空调', '酒店前台']"
招聘助理,4000-8000元,4000,8000,中国人寿保险股份有限公司广州市花都支公司,国企,保险,广州,1-3年,大专,http://www.zhaopin.com/jobdetail/CC226557010J40862239413.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,央企,"['销售岗位招聘', '运营岗位招聘', '职能岗位招聘', '社会招聘']"
电气设计师（中级）,1-1.5万,10000,15000,广州市市政工程设计研究总院有限公司,国企,工程技术与设计服务,广州,3-5年,本科,http://www.zhaopin.com/jobdetail/CC266903210J40807471707.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,['设计']
化工销售经理（煤化工/水煤浆/石膏板）,1.3-2.6万·13薪,13000,26000,中科院广州化学有限公司,国企,石油/石化,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC159765810J40834309305.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,['市场开拓']
综合维修工（高压）,4000-6000元,4000,6000,广州融通天河宾馆有限责任公司,国企,餐饮服务,广州,1-3年,中专/中技,http://www.zhaopin.com/jobdetail/CCL1227698760J40886749902.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['电工职业资格证书', '配电设备', '电梯设备', '特种作业操作证 （高压电工）']"
工程管理岗(J15505),1.1-1.5万·13薪,11000,15000,深圳市优你家互联网科技有限公司,国企,互联网,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CC342509280J40837676913.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,"['装修管理', '软装项目', '硬装项目']"
会计,8000-12000元·14薪,8000,12000,广州市美术有限公司,国企,装饰装修,广州,3-5年,本科,http://www.zhaopin.com/jobdetail/CC140952880J40888565008.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,"['成本会计', '财务分析', '会计中级职称', '集团公司', '建筑行业', '税务会计']"
销售工程师,6000-12000元,6000,12000,广州广微计量检测技术有限公司,国企,检测/认证,广州,经验不限,大专,http://www.zhaopin.com/jobdetail/CC297383930J40596786307.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['企业客户', '医疗机构', '院校客户', '区域销售', '渠道销售', '网络销售']"
服务管理岗,5000-7000元,5000,7000,中国人民健康保险股份有限公司广东分公司,国企,保险,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC142893540J40855216413.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,央企,['健康管理服务']
设备巡检员-校招（无害化处理中心）,5000-6000元,5000,6000,广东广业投资集团有限公司,国企,环保,广州,无经验,大专,http://www.zhaopin.com/jobdetail/CC153599410J40912215715.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,['机械设备']
西餐厅服务员,3000-4000元,3000,4000,广州华侨大厦企业有限公司华厦大酒店,国企,酒店/民宿,广州,经验不限,高中,http://www.zhaopin.com/jobdetail/CC219019420J00525782207.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,['餐饮服务']
财务经理,1.3-2万·14薪,13000,20000,广州数据集团有限公司,国企,云计算/大数据,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CCL1479122530J40858614702.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,[]
市场拓展岗,8000-10000元,8000,10000,广东旅发创展投资有限公司,国企,酒店/民宿,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1352746790J40836925410.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,[]
洗衣房服务员,3000-4000元·13薪,3000,4000,广州华侨大厦企业有限公司华厦大酒店,国企,酒店/民宿,广州,经验不限,学历不限,http://www.zhaopin.com/jobdetail/CC219019420J40802704311.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['星级酒店', '五险一金', '节日福利', '全勤奖金']"
桥梁设计（外包）,8000-12000元,8000,12000,广州市市政工程设计研究总院有限公司,国企,工程技术与设计服务,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC266903210J40749136307.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,['桥梁工程']
G端客户经理（水利水务应急管理）,1.4-2万,14000,20000,四创科技有限公司,国企,计算机软件,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CC120357980J40693999105.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['政府', '客情维护', '客户挖掘', '区域销售', '面销/陌拜']"
设备工程师,9000-13000元,9000,13000,广州国机密封科技有限公司,国企,橡胶和塑料制品,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC848207000J40910237215.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['维修/保养', '安装/调试', '非标设备', '机床设备']"
项目经理,1.2-1.5万,12000,15000,广州化工交易中心有限公司,国企,石油/石化,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CC173540410J40986830704.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,[]
造价工程师（安装）,1-1.5万,10000,15000,广州市国际工程咨询有限公司,国企,咨询服务,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC189477210J40368255505.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,"['一级注册造价师（安装工程）', '二级注册造价师（安装工程）', '造价员（安装）', '广联达', 'ArchiCAD']"
中介管理岗,6000-8000元,6000,8000,中国人民健康保险股份有限公司广东分公司,国企,保险,广州,3-5年,本科,http://www.zhaopin.com/jobdetail/CC142893540J40843854913.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,央企,[]
运营主管,9000-12000元·15薪,9000,12000,广州广电国际技术有限公司,国企,贸易/进出口,广州,3-5年,本科,http://www.zhaopin.com/jobdetail/CC645040330J40575478716.htm?refcode=4019&srccode=401903&preactionid=79a6c45f-8988-4ede-a7c9-efd02800eee1,zhaopin,国企,['写作能力']
