专业,年份,月薪,当前岗位数,当前中位薪资
中药资源与开发,2016,5865,0,0
中药资源与开发,2015,5586,0,0
中西医临床医学,2025,11300,0,0
中西医临床医学,2024,10560,0,0
中西医临床医学,2023,9869,0,0
中西医临床医学,2022,9224,0,0
中西医临床医学,2021,8620,0,0
中西医临床医学,2020,8056,0,0
中西医临床医学,2019,7529,0,0
中西医临床医学,2018,7037,0,0
中西医临床医学,2017,6576,0,0
中西医临床医学,2016,6146,0,0
中西医临床医学,2015,5744,0,0
临床医学,2025,10500,80,10500
临床医学,2024,9813,80,10500
临床医学,2023,9171,80,10500
临床医学,2022,8571,80,10500
临床医学,2021,8010,80,10500
临床医学,2020,7486,80,10500
临床医学,2019,6996,80,10500
临床医学,2018,6538,80,10500
临床医学,2017,6111,80,10500
临床医学,2016,5711,80,10500
临床医学,2015,5337,80,10500
临床药学,2025,11400,0,0
临床药学,2024,10654,0,0
临床药学,2023,9957,0,0
临床药学,2022,9305,0,0
临床药学,2021,8697,0,0
临床药学,2020,8128,0,0
临床药学,2019,7596,0,0
临床药学,2018,7099,0,0
临床药学,2017,6634,0,0
临床药学,2016,6200,0,0
临床药学,2015,5795,0,0
丹麦语,2025,15200,0,0
丹麦语,2024,14476,0,0
丹麦语,2023,13786,0,0
丹麦语,2022,13130,0,0
丹麦语,2021,12505,0,0
丹麦语,2020,11909,0,0
丹麦语,2019,11342,0,0
丹麦语,2018,10802,0,0
丹麦语,2017,10287,0,0
丹麦语,2016,9798,0,0
丹麦语,2015,9331,0,0
乌克兰语,2025,15600,0,0
乌克兰语,2024,14857,0,0
乌克兰语,2023,14149,0,0
乌克兰语,2022,13475,0,0
乌克兰语,2021,12834,0,0
乌克兰语,2020,12223,0,0
乌克兰语,2019,11640,0,0
乌克兰语,2018,11086,0,0
乌克兰语,2017,10558,0,0
乌克兰语,2016,10055,0,0
乌克兰语,2015,9577,0,0
乌兹别克语,2025,16500,0,0
乌兹别克语,2024,15714,0,0
乌兹别克语,2023,14965,0,0
乌兹别克语,2022,14253,0,0
乌兹别克语,2021,13574,0,0
乌兹别克语,2020,12928,0,0
乌兹别克语,2019,12312,0,0
乌兹别克语,2018,11726,0,0
乌兹别克语,2017,11167,0,0
乌兹别克语,2016,10636,0,0
乌兹别克语,2015,10129,0,0
乌尔都语,2025,15600,0,0
乌尔都语,2024,14857,0,0
乌尔都语,2023,14149,0,0
乌尔都语,2022,13475,0,0
乌尔都语,2021,12834,0,0
乌尔都语,2020,12223,0,0
乌尔都语,2019,11640,0,0
乌尔都语,2018,11086,0,0
乌尔都语,2017,10558,0,0
乌尔都语,2016,10055,0,0
乌尔都语,2015,9577,0,0
书法学,2025,10700,0,0
书法学,2024,10000,0,0
书法学,2023,9345,0,0
书法学,2022,8734,0,0
书法学,2021,8162,0,0
书法学,2020,7628,0,0
书法学,2019,7129,0,0
书法学,2018,6663,0,0
书法学,2017,6227,0,0
书法学,2016,5820,0,0
书法学,2015,5439,0,0
乳品工程,2025,6300,0,0
乳品工程,2024,6000,0,0
乳品工程,2023,5714,0,0
乳品工程,2022,5442,0,0
乳品工程,2021,5183,0,0
乳品工程,2020,4936,0,0
乳品工程,2019,4701,0,0
乳品工程,2018,4477,0,0
乳品工程,2017,4264,0,0
乳品工程,2016,4061,0,0
乳品工程,2015,3867,0,0
交通工程,2025,12000,0,0
交通工程,2024,11428,0,0
交通工程,2023,10884,0,0
交通工程,2022,10366,0,0
交通工程,2021,9872,0,0
交通工程,2020,9402,0,0
交通工程,2019,8954,0,0
交通工程,2018,8528,0,0
交通工程,2017,8122,0,0
交通工程,2016,7735,0,0
交通工程,2015,7366,0,0
交通管理工程,2025,14100,0,0
交通管理工程,2024,13428,0,0
交通管理工程,2023,12789,0,0
交通管理工程,2022,12180,0,0
交通管理工程,2021,11600,0,0
交通管理工程,2020,11047,0,0
交通管理工程,2019,10521,0,0
交通管理工程,2018,10020,0,0
交通管理工程,2017,9543,0,0
交通管理工程,2016,9088,0,0
交通管理工程,2015,8656,0,0
交通设备与控制工程,2025,13500,0,0
交通设备与控制工程,2024,12857,0,0
交通设备与控制工程,2023,12244,0,0
交通设备与控制工程,2022,11661,0,0
交通设备与控制工程,2021,11106,0,0
交通设备与控制工程,2020,10577,0,0
交通设备与控制工程,2019,10073,0,0
交通设备与控制工程,2018,9594,0,0
交通设备与控制工程,2017,9137,0,0
交通设备与控制工程,2016,8702,0,0
交通设备与控制工程,2015,8287,0,0
交通运输,2025,8750,120,8750
交通运输,2024,8333,120,8750
交通运输,2023,7936,120,8750
交通运输,2022,7558,120,8750
交通运输,2021,7198,120,8750
交通运输,2020,6855,120,8750
交通运输,2019,6529,120,8750
交通运输,2018,6218,120,8750
交通运输,2017,5922,120,8750
交通运输,2016,5640,120,8750
交通运输,2015,5371,120,8750
产品设计,2025,10500,40,10500
产品设计,2024,10000,40,10500
产品设计,2023,9523,40,10500
产品设计,2022,9070,40,10500
产品设计,2021,8638,40,10500
产品设计,2020,8227,40,10500
产品设计,2019,7835,40,10500
产品设计,2018,7462,40,10500
产品设计,2017,7106,40,10500
产品设计,2016,6768,40,10500
产品设计,2015,6446,40,10500
人力资源管理,2025,7500,80,7500
人力资源管理,2024,7142,80,7500
人力资源管理,2023,6802,80,7500
人力资源管理,2022,6478,80,7500
人力资源管理,2021,6170,80,7500
人力资源管理,2020,5876,80,7500
人力资源管理,2019,5596,80,7500
人力资源管理,2018,5330,80,7500
人力资源管理,2017,5076,80,7500
人力资源管理,2016,4834,80,7500
人力资源管理,2015,4604,80,7500
人工智能,2025,19500,120,19500
人工智能,2024,17410,120,19500
人工智能,2023,15545,120,19500
人工智能,2022,13879,120,19500
人工智能,2021,12392,120,19500
人工智能,2020,11064,120,19500
人工智能,2019,9879,120,19500
人工智能,2018,8820,120,19500
人工智能,2017,7875,120,19500
人工智能,2016,7031,120,19500
人工智能,2015,6278,120,19500
人文地理与城乡规划,2025,11900,0,0
人文地理与城乡规划,2024,11333,0,0
人文地理与城乡规划,2023,10793,0,0
人文地理与城乡规划,2022,10279,0,0
人文地理与城乡规划,2021,9790,0,0
人文地理与城乡规划,2020,9323,0,0
人文地理与城乡规划,2019,8879,0,0
人文地理与城乡规划,2018,8457,0,0
人文地理与城乡规划,2017,8054,0,0
人文地理与城乡规划,2016,7670,0,0
人文地理与城乡规划,2015,7305,0,0
人文教育,2025,9900,0,0
人文教育,2024,9519,0,0
人文教育,2023,9153,0,0
人文教育,2022,8801,0,0
人文教育,2021,8462,0,0
人文教育,2020,8137,0,0
人文教育,2019,7824,0,0
人文教育,2018,7523,0,0
人文教育,2017,7233,0,0
人文教育,2016,6955,0,0
人文教育,2015,6688,0,0
人类学,2025,10800,0,0
人类学,2024,10285,0,0
人类学,2023,9795,0,0
人类学,2022,9329,0,0
人类学,2021,8885,0,0
人类学,2020,8462,0,0
人类学,2019,8059,0,0
人类学,2018,7675,0,0
人类学,2017,7309,0,0
人类学,2016,6961,0,0
人类学,2015,6630,0,0
休闲体育,2025,12000,40,12000
休闲体育,2024,11428,40,12000
休闲体育,2023,10884,40,12000
休闲体育,2022,10366,40,12000
休闲体育,2021,9872,40,12000
休闲体育,2020,9402,40,12000
休闲体育,2019,8954,40,12000
休闲体育,2018,8528,40,12000
休闲体育,2017,8122,40,12000
休闲体育,2016,7735,40,12000
休闲体育,2015,7366,40,12000
会展经济与管理,2025,11700,0,0
会展经济与管理,2024,11142,0,0
会展经济与管理,2023,10612,0,0
会展经济与管理,2022,10106,0,0
会展经济与管理,2021,9625,0,0
会展经济与管理,2020,9167,0,0
会展经济与管理,2019,8730,0,0
会展经济与管理,2018,8314,0,0
会展经济与管理,2017,7919,0,0
会展经济与管理,2016,7541,0,0
会展经济与管理,2015,7182,0,0
会计学,2025,9000,40,9000
会计学,2024,8411,40,9000
会计学,2023,7860,40,9000
会计学,2022,7346,40,9000
会计学,2021,6866,40,9000
会计学,2020,6416,40,9000
会计学,2019,5997,40,9000
会计学,2018,5604,40,9000
会计学,2017,5238,40,9000
会计学,2016,4895,40,9000
会计学,2015,4575,40,9000
传播学,2025,8750,80,8750
传播学,2024,8413,80,8750
传播学,2023,8089,80,8750
传播学,2022,7778,80,8750
传播学,2021,7479,80,8750
传播学,2020,7191,80,8750
传播学,2019,6915,80,8750
传播学,2018,6649,80,8750
传播学,2017,6393,80,8750
传播学,2016,6147,80,8750
传播学,2015,5911,80,8750
伦理学,2025,11600,0,0
伦理学,2024,11047,0,0
伦理学,2023,10521,0,0
伦理学,2022,10020,0,0
伦理学,2021,9543,0,0
伦理学,2020,9088,0,0
伦理学,2019,8656,0,0
伦理学,2018,8243,0,0
伦理学,2017,7851,0,0
伦理学,2016,7477,0,0
伦理学,2015,7121,0,0
体育教育,2025,6250,80,6250
体育教育,2024,6009,80,6250
体育教育,2023,5778,80,6250
体育教育,2022,5556,80,6250
体育教育,2021,5342,80,6250
体育教育,2020,5137,80,6250
体育教育,2019,4939,80,6250
体育教育,2018,4749,80,6250
体育教育,2017,4566,80,6250
体育教育,2016,4391,80,6250
体育教育,2015,4222,80,6250
体育经济与管理,2025,13200,0,0
体育经济与管理,2024,12571,0,0
体育经济与管理,2023,11972,0,0
体育经济与管理,2022,11402,0,0
体育经济与管理,2021,10859,0,0
体育经济与管理,2020,10342,0,0
体育经济与管理,2019,9850,0,0
体育经济与管理,2018,9380,0,0
体育经济与管理,2017,8934,0,0
体育经济与管理,2016,8508,0,0
体育经济与管理,2015,8103,0,0
作曲与作曲技术理论,2025,14000,0,0
作曲与作曲技术理论,2024,13333,0,0
作曲与作曲技术理论,2023,12698,0,0
作曲与作曲技术理论,2022,12093,0,0
作曲与作曲技术理论,2021,11517,0,0
作曲与作曲技术理论,2020,10969,0,0
作曲与作曲技术理论,2019,10447,0,0
作曲与作曲技术理论,2018,9949,0,0
作曲与作曲技术理论,2017,9475,0,0
作曲与作曲技术理论,2016,9024,0,0
作曲与作曲技术理论,2015,8594,0,0
侦查学,2025,9000,27,9000
侦查学,2024,8571,27,9000
侦查学,2023,8163,27,9000
侦查学,2022,7774,27,9000
侦查学,2021,7404,27,9000
侦查学,2020,7051,27,9000
侦查学,2019,6715,27,9000
侦查学,2018,6396,27,9000
侦查学,2017,6091,27,9000
侦查学,2016,5801,27,9000
侦查学,2015,5525,27,9000
俄语,2025,11500,80,11500
俄语,2024,10952,80,11500
俄语,2023,10430,80,11500
俄语,2022,9934,80,11500
俄语,2021,9461,80,11500
俄语,2020,9010,80,11500
俄语,2019,8581,80,11500
俄语,2018,8172,80,11500
俄语,2017,7783,80,11500
俄语,2016,7413,80,11500
俄语,2015,7060,80,11500
保加利亚语,2025,15000,0,0
保加利亚语,2024,14285,0,0
保加利亚语,2023,13605,0,0
保加利亚语,2022,12957,0,0
保加利亚语,2021,12340,0,0
保加利亚语,2020,11752,0,0
保加利亚语,2019,11193,0,0
保加利亚语,2018,10660,0,0
保加利亚语,2017,10152,0,0
保加利亚语,2016,9669,0,0
保加利亚语,2015,9208,0,0
保密管理,2025,12900,0,0
保密管理,2024,12285,0,0
保密管理,2023,11700,0,0
保密管理,2022,11143,0,0
保密管理,2021,10612,0,0
保密管理,2020,10107,0,0
保密管理,2019,9626,0,0
保密管理,2018,9167,0,0
保密管理,2017,8731,0,0
保密管理,2016,8315,0,0
保密管理,2015,7919,0,0
保险学,2025,11500,80,11500
保险学,2024,10952,80,11500
保险学,2023,10430,80,11500
保险学,2022,9934,80,11500
保险学,2021,9461,80,11500
保险学,2020,9010,80,11500
保险学,2019,8581,80,11500
保险学,2018,8172,80,11500
保险学,2017,7783,80,11500
保险学,2016,7413,80,11500
保险学,2015,7060,80,11500
信息与计算科学,2025,13400,0,0
信息与计算科学,2024,12761,0,0
信息与计算科学,2023,12154,0,0
信息与计算科学,2022,11575,0,0
信息与计算科学,2021,11024,0,0
信息与计算科学,2020,10499,0,0
信息与计算科学,2019,9999,0,0
信息与计算科学,2018,9523,0,0
信息与计算科学,2017,9069,0,0
信息与计算科学,2016,8637,0,0
信息与计算科学,2015,8226,0,0
信息安全,2025,13800,0,0
信息安全,2024,13142,0,0
信息安全,2023,12517,0,0
信息安全,2022,11920,0,0
信息安全,2021,11353,0,0
信息安全,2020,10812,0,0
信息安全,2019,10297,0,0
信息安全,2018,9807,0,0
信息安全,2017,9340,0,0
信息安全,2016,8895,0,0
信息安全,2015,8472,0,0
信息对抗技术,2025,13900,0,0
信息对抗技术,2024,13238,0,0
信息对抗技术,2023,12607,0,0
信息对抗技术,2022,12007,0,0
信息对抗技术,2021,11435,0,0
信息对抗技术,2020,10891,0,0
信息对抗技术,2019,10372,0,0
信息对抗技术,2018,9878,0,0
信息对抗技术,2017,9408,0,0
信息对抗技术,2016,8960,0,0
信息对抗技术,2015,8533,0,0
信息工程,2025,14300,0,0
信息工程,2024,13619,0,0
信息工程,2023,12970,0,0
信息工程,2022,12352,0,0
信息工程,2021,11764,0,0
信息工程,2020,11204,0,0
信息工程,2019,10670,0,0
信息工程,2018,10162,0,0
信息工程,2017,9678,0,0
信息工程,2016,9217,0,0
信息工程,2015,8778,0,0
信息管理与信息系统,2025,10000,120,10000
信息管理与信息系统,2024,9523,120,10000
信息管理与信息系统,2023,9070,120,10000
信息管理与信息系统,2022,8638,120,10000
信息管理与信息系统,2021,8227,120,10000
信息管理与信息系统,2020,7835,120,10000
信息管理与信息系统,2019,7462,120,10000
信息管理与信息系统,2018,7106,120,10000
信息管理与信息系统,2017,6768,120,10000
信息管理与信息系统,2016,6446,120,10000
信息管理与信息系统,2015,6139,120,10000
信息资源管理,2025,11700,0,0
信息资源管理,2024,11142,0,0
信息资源管理,2023,10612,0,0
信息资源管理,2022,10106,0,0
信息资源管理,2021,9625,0,0
信息资源管理,2020,9167,0,0
信息资源管理,2019,8730,0,0
信息资源管理,2018,8314,0,0
信息资源管理,2017,7919,0,0
信息资源管理,2016,7541,0,0
信息资源管理,2015,7182,0,0
信用管理,2025,12300,0,0
信用管理,2024,11714,0,0
信用管理,2023,11156,0,0
信用管理,2022,10625,0,0
信用管理,2021,10119,0,0
信用管理,2020,9637,0,0
信用管理,2019,9178,0,0
信用管理,2018,8741,0,0
信用管理,2017,8325,0,0
信用管理,2016,7928,0,0
信用管理,2015,7551,0,0
假肢矫形工程,2025,13300,0,0
假肢矫形工程,2024,12666,0,0
假肢矫形工程,2023,12063,0,0
假肢矫形工程,2022,11489,0,0
假肢矫形工程,2021,10941,0,0
假肢矫形工程,2020,10420,0,0
假肢矫形工程,2019,9924,0,0
假肢矫形工程,2018,9452,0,0
假肢矫形工程,2017,9001,0,0
假肢矫形工程,2016,8573,0,0
假肢矫形工程,2015,8165,0,0
健康管理,2025,7000,0,0
健康管理,2024,6666,0,0
健康管理,2023,6349,0,0
健康管理,2022,6046,0,0
健康管理,2021,5758,0,0
健康管理,2020,5484,0,0
健康管理,2019,5223,0,0
健康管理,2018,4974,0,0
健康管理,2017,4737,0,0
健康管理,2016,4512,0,0
健康管理,2015,4297,0,0
僧伽罗语,2025,16100,0,0
僧伽罗语,2024,15333,0,0
僧伽罗语,2023,14603,0,0
僧伽罗语,2022,13907,0,0
僧伽罗语,2021,13245,0,0
僧伽罗语,2020,12614,0,0
僧伽罗语,2019,12014,0,0
僧伽罗语,2018,11441,0,0
僧伽罗语,2017,10897,0,0
僧伽罗语,2016,10378,0,0
僧伽罗语,2015,9884,0,0
光源与照明,2025,18200,0,0
光源与照明,2024,17333,0,0
光源与照明,2023,16507,0,0
光源与照明,2022,15721,0,0
光源与照明,2021,14973,0,0
光源与照明,2020,14260,0,0
光源与照明,2019,13581,0,0
光源与照明,2018,12934,0,0
光源与照明,2017,12318,0,0
光源与照明,2016,11731,0,0
光源与照明,2015,11173,0,0
光电信息科学与工程,2025,13000,0,0
光电信息科学与工程,2024,12380,0,0
光电信息科学与工程,2023,11791,0,0
光电信息科学与工程,2022,11229,0,0
光电信息科学与工程,2021,10695,0,0
光电信息科学与工程,2020,10185,0,0
光电信息科学与工程,2019,9700,0,0
光电信息科学与工程,2018,9238,0,0
光电信息科学与工程,2017,8798,0,0
光电信息科学与工程,2016,8379,0,0
光电信息科学与工程,2015,7980,0,0
克罗地亚语,2025,15000,0,0
克罗地亚语,2024,14285,0,0
克罗地亚语,2023,13605,0,0
克罗地亚语,2022,12957,0,0
克罗地亚语,2021,12340,0,0
克罗地亚语,2020,11752,0,0
克罗地亚语,2019,11193,0,0
克罗地亚语,2018,10660,0,0
克罗地亚语,2017,10152,0,0
克罗地亚语,2016,9669,0,0
克罗地亚语,2015,9208,0,0
全球健康学,2025,11300,0,0
全球健康学,2024,10761,0,0
全球健康学,2023,10249,0,0
全球健康学,2022,9761,0,0
全球健康学,2021,9296,0,0
全球健康学,2020,8853,0,0
全球健康学,2019,8432,0,0
全球健康学,2018,8030,0,0
全球健康学,2017,7648,0,0
全球健康学,2016,7284,0,0
全球健康学,2015,6937,0,0
公共事业管理,2025,10500,0,0
公共事业管理,2024,10000,0,0
公共事业管理,2023,9523,0,0
公共事业管理,2022,9070,0,0
公共事业管理,2021,8638,0,0
公共事业管理,2020,8227,0,0
公共事业管理,2019,7835,0,0
公共事业管理,2018,7462,0,0
公共事业管理,2017,7106,0,0
公共事业管理,2016,6768,0,0
公共事业管理,2015,6446,0,0
公共关系学,2025,14000,0,0
公共关系学,2024,13333,0,0
公共关系学,2023,12698,0,0
公共关系学,2022,12093,0,0
公共关系学,2021,11517,0,0
公共关系学,2020,10969,0,0
公共关系学,2019,10447,0,0
公共关系学,2018,9949,0,0
公共关系学,2017,9475,0,0
公共关系学,2016,9024,0,0
公共关系学,2015,8594,0,0
公共管理,2025,10500,35,10500
公共管理,2024,10000,35,10500
公共管理,2023,9523,35,10500
公共管理,2022,9070,35,10500
公共管理,2021,8638,35,10500
公共管理,2020,8227,35,10500
公共管理,2019,7835,35,10500
公共管理,2018,7462,35,10500
公共管理,2017,7106,35,10500
公共管理,2016,6768,35,10500
公共管理,2015,6446,35,10500
公共艺术,2025,11800,0,0
公共艺术,2024,11238,0,0
公共艺术,2023,10702,0,0
公共艺术,2022,10193,0,0
公共艺术,2021,9707,0,0
公共艺术,2020,9245,0,0
公共艺术,2019,8805,0,0
公共艺术,2018,8386,0,0
公共艺术,2017,7986,0,0
公共艺术,2016,7606,0,0
公共艺术,2015,7244,0,0
公安情报学,2025,11400,0,0
公安情报学,2024,10857,0,0
公安情报学,2023,10340,0,0
公安情报学,2022,9847,0,0
公安情报学,2021,9378,0,0
公安情报学,2020,8932,0,0
公安情报学,2019,8506,0,0
公安情报学,2018,8101,0,0
公安情报学,2017,7715,0,0
公安情报学,2016,7348,0,0
公安情报学,2015,6998,0,0
公安管理学,2025,10700,0,0
公安管理学,2024,10190,0,0
公安管理学,2023,9705,0,0
公安管理学,2022,9243,0,0
公安管理学,2021,8802,0,0
公安管理学,2020,8383,0,0
公安管理学,2019,7984,0,0
公安管理学,2018,7604,0,0
公安管理学,2017,7242,0,0
公安管理学,2016,6897,0,0
公安管理学,2015,6568,0,0
公安视听技术,2025,11300,0,0
公安视听技术,2024,10761,0,0
公安视听技术,2023,10249,0,0
公安视听技术,2022,9761,0,0
公安视听技术,2021,9296,0,0
公安视听技术,2020,8853,0,0
公安视听技术,2019,8432,0,0
公安视听技术,2018,8030,0,0
公安视听技术,2017,7648,0,0
公安视听技术,2016,7284,0,0
公安视听技术,2015,6937,0,0
军事海洋学,2025,10500,0,0
军事海洋学,2024,10000,0,0
军事海洋学,2023,9523,0,0
军事海洋学,2022,9070,0,0
军事海洋学,2021,8638,0,0
军事海洋学,2020,8227,0,0
军事海洋学,2019,7835,0,0
军事海洋学,2018,7462,0,0
军事海洋学,2017,7106,0,0
军事海洋学,2016,6768,0,0
军事海洋学,2015,6446,0,0
农业工程,2025,10800,0,0
农业工程,2024,10285,0,0
农业工程,2023,9795,0,0
农业工程,2022,9329,0,0
农业工程,2021,8885,0,0
农业工程,2020,8462,0,0
农业工程,2019,8059,0,0
农业工程,2018,7675,0,0
农业工程,2017,7309,0,0
农业工程,2016,6961,0,0
农业工程,2015,6630,0,0
农业建筑环境与能源工程,2025,11700,0,0
农业建筑环境与能源工程,2024,11359,0,0
农业建筑环境与能源工程,2023,11028,0,0
农业建筑环境与能源工程,2022,10707,0,0
农业建筑环境与能源工程,2021,10395,0,0
农业建筑环境与能源工程,2020,10092,0,0
农业建筑环境与能源工程,2019,9798,0,0
农业建筑环境与能源工程,2018,9513,0,0
农业建筑环境与能源工程,2017,9236,0,0
农业建筑环境与能源工程,2016,8967,0,0
农业建筑环境与能源工程,2015,8705,0,0
农业机械化及其自动化,2025,10800,0,0
农业机械化及其自动化,2024,9908,0,0
农业机械化及其自动化,2023,9090,0,0
农业机械化及其自动化,2022,8339,0,0
农业机械化及其自动化,2021,7650,0,0
农业机械化及其自动化,2020,7019,0,0
农业机械化及其自动化,2019,6439,0,0
农业机械化及其自动化,2018,5907,0,0
农业机械化及其自动化,2017,5420,0,0
农业机械化及其自动化,2016,4972,0,0
农业机械化及其自动化,2015,4562,0,0
农业水利工程,2025,11300,0,0
农业水利工程,2024,10761,0,0
农业水利工程,2023,10249,0,0
农业水利工程,2022,9761,0,0
农业水利工程,2021,9296,0,0
农业水利工程,2020,8853,0,0
农业水利工程,2019,8432,0,0
农业水利工程,2018,8030,0,0
农业水利工程,2017,7648,0,0
农业水利工程,2016,7284,0,0
农业水利工程,2015,6937,0,0
农业电气化,2025,9700,0,0
农业电气化,2024,9238,0,0
农业电气化,2023,8798,0,0
农业电气化,2022,8379,0,0
农业电气化,2021,7980,0,0
农业电气化,2020,7600,0,0
农业电气化,2019,7238,0,0
农业电气化,2018,6893,0,0
农业电气化,2017,6565,0,0
农业电气化,2016,6252,0,0
农业电气化,2015,5954,0,0
农业资源与环境,2025,10000,0,0
农业资源与环境,2024,9708,0,0
农业资源与环境,2023,9425,0,0
农业资源与环境,2022,9151,0,0
农业资源与环境,2021,8884,0,0
农业资源与环境,2020,8626,0,0
农业资源与环境,2019,8374,0,0
农业资源与环境,2018,8130,0,0
农业资源与环境,2017,7894,0,0
农业资源与环境,2016,7664,0,0
农业资源与环境,2015,7440,0,0
农学,2025,6500,80,6500
农学,2024,6310,80,6500
农学,2023,6126,80,6500
农学,2022,5948,80,6500
农学,2021,5775,80,6500
农学,2020,5606,80,6500
农学,2019,5443,80,6500
农学,2018,5285,80,6500
农学,2017,5131,80,6500
农学,2016,4981,80,6500
农学,2015,4836,80,6500
农村区域发展,2025,10300,0,0
农村区域发展,2024,9809,0,0
农村区域发展,2023,9342,0,0
农村区域发展,2022,8897,0,0
农村区域发展,2021,8473,0,0
农村区域发展,2020,8070,0,0
农村区域发展,2019,7686,0,0
农村区域发展,2018,7320,0,0
农村区域发展,2017,6971,0,0
农村区域发展,2016,6639,0,0
农村区域发展,2015,6323,0,0
农林经济管理,2025,10900,0,0
农林经济管理,2024,10380,0,0
农林经济管理,2023,9886,0,0
农林经济管理,2022,9415,0,0
农林经济管理,2021,8967,0,0
农林经济管理,2020,8540,0,0
农林经济管理,2019,8133,0,0
农林经济管理,2018,7746,0,0
农林经济管理,2017,7377,0,0
农林经济管理,2016,7026,0,0
农林经济管理,2015,6691,0,0
农艺教育,2025,7700,0,0
农艺教育,2024,7403,0,0
农艺教育,2023,7119,0,0
