name,level2_name,level3_name,limit_year,fivesalaryavg,salaryavg,view_total,view_month,boy_rate,girl_rate,job_count,market_salary_median,salary_score,demand_score,popularity_score,value_ratio_score,composite_index
港口航道与海岸工程,工学,水利类,四年,14900,89428,188746,5,82,18,0,,91.31428571428572,56.659267480577135,91.00998890122086,92.67480577136516,81.1
哈萨克语,文学,外国语言文学类,四年,16800,0,353638,3,0,0,0,,97.48571428571428,56.659267480577135,80.35516093229745,85.23862375138734,80.8
戏剧学,艺术学,戏剧与影视学类,四年,14900,89783,177224,7,28,72,0,,91.31428571428572,56.659267480577135,87.90233074361821,93.45172031076582,80.7
电信工程及管理,工学,电子信息类,四年,14500,141222,259432,9,60,40,0,,90.17142857142856,56.659267480577135,95.67147613762485,88.12430632630411,80.6
交通管理工程,工学,公安技术类,四年,14100,0,245639,2,85,15,0,,88.5142857142857,56.659267480577135,98.55715871254162,88.67924528301887,80.5
斯洛文尼亚语,文学,外国语言文学类,四年,16100,0,340189,2,0,0,0,,95.31428571428572,56.659267480577135,83.24084350721421,85.01664816870145,80.4
信息对抗技术,工学,兵器类,四年,13900,149888,229054,9,77,23,0,,87.6,56.659267480577135,99.00110987791344,89.34517203107659,80.3
软件工程,工学,计算机类,四年,16700,131415,4691569,79,73,27,60,10500.0,97.14285714285714,99.38956714761376,0.8879023307436285,41.84239733629301,80.1
广播电视工程,工学,电子信息类,四年,14400,158648,269743,1,46,54,0,,89.82857142857142,56.659267480577135,93.22974472807992,87.34739178690344,80.0
空间信息与数字技术,工学,计算机类,四年,16500,136131,359184,13,63,37,0,,96.39999999999999,56.659267480577135,78.80133185349612,84.23973362930077,80.0
采购管理,管理学,物流管理与工程类,四年,17200,88880,391253,1,28,72,0,,98.05714285714285,56.659267480577135,74.80577136514984,83.12985571587126,79.9
祖鲁语,文学,外国语言文学类,四年,16600,133377,365367,3,0,0,0,,96.8,56.659267480577135,77.6914539400666,83.79578246392897,79.9
能源与环境系统工程,工学,能源动力类,四年,15200,98013,316950,5,71,29,0,,92.80000000000001,56.659267480577135,86.12652608213097,85.3496115427303,79.8
拉丁语,文学,外国语言文学类,四年,16300,0,355739,2,0,0,0,,95.77142857142857,56.659267480577135,79.46725860155384,84.12874583795784,79.8
挪威语,文学,外国语言文学类,四年,16100,0,115488,3,0,0,0,,95.31428571428572,56.659267480577135,67.480577136515,96.78135405105438,79.8
地球信息科学与技术,理学,地质学类,四年,14000,128002,259740,4,66,34,0,,88.11428571428571,56.659267480577135,95.44950055493895,87.4583795782464,79.7
作曲与作曲技术理论,艺术学,音乐与舞蹈学类,四年，五年,14000,72179,181517,2,39,61,0,,88.11428571428571,56.659267480577135,89.90011098779135,92.45283018867924,79.6
豪萨语,文学,外国语言文学类,四年,16800,0,98818,2,0,0,0,,97.48571428571428,56.659267480577135,59.04550499445062,97.55826859045506,79.5
印度尼西亚语,文学,外国语言文学类,四年,17900,122820,89535,5,21,79,0,,98.68571428571428,56.659267480577135,55.27192008879024,98.55715871254162,79.5
公共关系学,管理学,公共管理类,四年,14000,117414,268106,70,28,72,0,,88.11428571428571,56.659267480577135,93.67369589345171,86.79245283018868,79.3
印地语,文学,外国语言文学类,四年,23600,0,74557,4,22,78,0,,99.65714285714286,56.659267480577135,48.612652608213104,100.0,79.2
地球化学,理学,地质学类,四年,13700,126566,201064,1,72,28,0,,86.45714285714286,56.659267480577135,92.56381798002221,90.89900110987791,79.1
捷克语,文学,外国语言文学类,四年,18100,0,81868,5,19,81,0,,98.85714285714286,56.659267480577135,51.27635960044395,99.00110987791344,79.1
轮机工程,工学,交通运输类,四年,15000,99640,332033,6,98,2,0,,91.82857142857142,56.659267480577135,84.57269700332964,83.35183129855716,78.9
瑞典语,文学,外国语言文学类,四年,15400,0,112564,2,13,87,0,,93.54285714285714,56.659267480577135,66.14872364039955,96.67036625971143,78.8
缅甸语,文学,外国语言文学类,四年,21000,121004,71549,4,26,74,0,,99.2,56.659267480577135,45.94894561598224,99.88901220865705,78.6
爱沙尼亚语,文学,外国语言文学类,四年,15300,0,354830,1,0,0,0,,93.14285714285714,56.659267480577135,79.91120976692562,82.46392896781354,78.6
药事管理,医学,药学类,四年,13400,119806,211260,2,31,69,0,,84.28571428571429,56.659267480577135,94.56159822419534,90.12208657047725,78.4
泰米尔语,文学,外国语言文学类,四年,16400,116656,88956,1,0,0,0,,96.0,56.659267480577135,55.04994450610433,98.33518312985572,78.4
戏剧影视美术设计,艺术学,戏剧与影视学类,四年,13900,83863,288307,6,35,65,0,,87.6,56.659267480577135,89.45615982241952,85.5715871254162,78.3
保险学,经济学,金融学类,四年,14200,123841,304291,2,35,65,0,,88.85714285714286,56.659267480577135,87.45837957824641,84.57269700332964,78.3
消防工程,工学,公安技术类,四年,13200,93767,229472,5,82,18,0,,82.74285714285713,56.659267480577135,99.22308546059934,88.79023307436182,78.3
芬兰语,文学,外国语言文学类,四年,15400,0,105958,7,0,0,0,,93.54285714285714,56.659267480577135,62.59711431742508,96.89234184239733,78.3
斯瓦希里语,文学,外国语言文学类,四年,17700,121676,71648,1,25,75,0,,98.4,56.659267480577135,46.17092119866815,99.33407325194229,78.2
希伯来语,文学,外国语言文学类,四年,16500,121676,419320,1,0,0,0,,96.39999999999999,56.659267480577135,70.14428412874585,80.57713651498335,78.2
僧伽罗语,文学,外国语言文学类,四年,16100,0,405836,3,0,0,0,,95.31428571428572,56.659267480577135,73.0299667036626,80.79911209766925,78.2
爱尔兰语,文学,外国语言文学类,四年,15100,0,356095,70,0,0,0,,92.4,56.659267480577135,79.02330743618202,82.35294117647058,78.2
阿尔巴尼亚语,文学,外国语言文学类,四年,15800,0,92768,5,0,0,0,,94.57142857142857,56.659267480577135,57.26970033296337,97.78024417314096,78.1
乌克兰语,文学,外国语言文学类,四年,15600,0,94462,1,0,0,0,,94.34285714285714,56.659267480577135,57.93562708102109,97.44728079911211,78.0
孟加拉语,文学,外国语言文学类,四年,15500,108023,98020,22,0,0,0,,94.0,56.659267480577135,58.6015538290788,97.33629300776914,78.0
塞尔维亚语,文学,外国语言文学类,四年,15000,0,109952,2,100,0,0,,91.82857142857142,56.659267480577135,64.37291897891231,96.55937846836848,77.9
希腊语,文学,外国语言文学类,四年,15800,0,408852,7,16,84,0,,94.57142857142857,56.659267480577135,72.58601553829078,80.35516093229744,77.8
丹麦语,文学,外国语言文学类,四年,15200,0,102067,1,0,0,0,,92.80000000000001,56.659267480577135,60.82130965593785,97.0033296337403,77.8
建筑电气与智能化,工学,土木类,四年,13700,93073,291019,10,82,18,0,,86.45714285714286,56.659267480577135,89.23418423973364,84.90566037735849,77.7
尼泊尔语,文学,外国语言文学类,四年,15500,121676,90113,2,14,86,0,,94.0,56.659267480577135,55.49389567147613,97.89123196448391,77.6
安全防范工程,工学,公安技术类,四年,14000,107749,129262,52,91,9,0,,88.11428571428571,56.659267480577135,72.14206437291898,95.44950055493896,77.4
马耳他语,文学,外国语言文学类,四年,14800,122820,364126,23,0,0,0,,91.02857142857142,56.659267480577135,77.9134295227525,81.46503884572697,77.3
飞行器动力工程,工学,航空航天类,四年,14300,0,344563,16,92,8,0,,89.37142857142857,56.659267480577135,81.90899001109877,81.68701442841288,77.3
应用生物科学,农学,植物生产类,四年,14200,91097,342567,4,43,57,0,,88.85714285714286,56.659267480577135,82.7968923418424,81.57602663706992,77.2
乌尔都语,文学,外国语言文学类,四年,15600,116656,79697,32,0,0,0,,94.34285714285714,56.659267480577135,51.054384017758046,98.44617092119867,77.2
网络与新媒体,文学,新闻传播学类,四年,13500,124756,1789050,19,36,64,60,7500.0,84.97142857142858,99.38956714761376,10.210876803551614,45.83795782463929,77.2
船舶电子电气工程,工学,交通运输类,四年,31600,94675,574490,18,93,7,0,,100.0,56.659267480577135,44.839067702552725,88.01331853496114,76.9
土耳其语,文学,外国语言文学类,四年,14800,0,97187,1,24,76,0,,91.02857142857142,56.659267480577135,58.379578246392896,97.2253052164262,76.7
计算机科学与技术,工学,计算机类,四年,14200,130994,7014897,266,66,34,60,10500.0,88.85714285714286,99.38956714761376,0.4439511653718142,40.95449500554939,76.6
拉脱维亚语,文学,外国语言文学类,四年,16200,0,449658,9,0,0,0,,95.65714285714286,56.659267480577135,63.92896781354052,78.57935627081021,76.6
西班牙语,文学,外国语言文学类,四年,17900,83413,493198,8,19,81,0,,98.68571428571428,56.659267480577135,55.71587125416204,78.80133185349611,76.6
菲律宾语,文学,外国语言文学类,四年,16400,111981,56572,2,0,0,0,,96.0,56.659267480577135,39.95560488346281,99.7780244173141,76.4
电子封装技术,工学,电子信息类,四年,15900,128804,445994,20,78,22,0,,94.74285714285713,56.659267480577135,65.03884572697004,78.24639289678136,76.4
救助与打捞工程,工学,交通运输类,四年,14100,0,355887,2,100,0,0,,88.5142857142857,56.659267480577135,79.24528301886792,80.6881243063263,76.4
戏剧影视导演,艺术学,戏剧与影视学类,四年,16400,69008,464668,6,42,58,0,,96.0,56.659267480577135,61.26526082130965,78.13540510543841,76.3
中国共产党历史,法学,马克思主义理论类,四年,12900,0,197097,4,32,68,0,,79.94285714285714,56.659267480577135,91.89789123196448,90.2330743618202,76.3
波兰语,文学,外国语言文学类,四年,14900,0,83318,74,0,0,0,,91.31428571428572,56.659267480577135,53.05216426193119,98.22419533851277,76.2
理论与应用力学,工学,力学类,四年,14600,136443,397884,4,84,16,0,,90.51428571428572,56.659267480577135,73.47391786903441,79.46725860155382,76.1
匈牙利语,文学,外国语言文学类,四年,15300,0,72227,2,9,91,0,,93.14285714285714,56.659267480577135,46.83684794672587,98.77913429522752,76.1
材料科学与工程,工学,材料类,四年,12600,122838,1064930,43,71,29,60,12500.0,76.62857142857142,99.38956714761376,19.755826859045513,50.83240843507214,76.1
假肢矫形工程,工学,生物医学工程类,四年,13300,111011,136392,3,27,73,0,,83.71428571428572,56.659267480577135,75.47169811320755,94.6725860155383,76.0
罗马尼亚语,文学,外国语言文学类,四年,15300,0,71673,3,0,0,0,,93.14285714285714,56.659267480577135,46.392896781354054,98.89012208657047,76.0
地球物理学,理学,地球物理学类,四年,14200,106999,371604,6,77,23,0,,88.85714285714286,56.659267480577135,76.58157602663707,80.13318534961155,76.0
泰语,文学,外国语言文学类,四年,13900,0,108819,5,12,88,0,,87.6,56.659267480577135,63.263041065482795,96.11542730299666,75.9
斯洛伐克语,文学,外国语言文学类,四年,15500,0,446278,2,0,0,0,,94.0,56.659267480577135,64.59489456159821,77.46947835738068,75.9
电波传播与天线,工学,电子信息类,四年,15100,130630,427891,3,74,26,0,,92.4,56.659267480577135,68.3684794672586,78.02441731409544,75.9
立陶宛语,文学,外国语言文学类,四年,15100,0,430908,4,0,0,0,,92.4,56.659267480577135,67.7025527192009,77.80244173140954,75.8
城市管理,管理学,公共管理类,四年,12800,108354,265230,61,38,62,0,,78.85714285714286,56.659267480577135,94.56159822419534,85.68257491675915,75.6
城市地下空间工程,工学,土木类,四年,12700,95101,206705,3,83,17,0,,77.54285714285714,56.659267480577135,93.45172031076582,89.67813540510544,75.5
飞行器环境与生命保障工程,工学,航空航天类,四年,13800,0,102820,4,71,29,0,,87.08571428571429,56.659267480577135,61.26526082130965,96.44839067702553,75.5
历史建筑保护工程,工学,建筑类,五年，四年,12700,92953,190323,7,39,61,0,,77.54285714285714,56.659267480577135,91.23196448390676,90.4550499445061,75.3
录音艺术,艺术学,戏剧与影视学类,四年,13000,89787,287633,1,42,58,0,,80.80000000000001,56.659267480577135,89.90011098779134,83.46281908990011,75.3
勘查技术与工程,工学,地质类,四年,12500,119278,239014,9,86,14,0,,75.71428571428571,56.659267480577135,99.00110987791344,86.90344062153163,75.2
克罗地亚语,文学,外国语言文学类,四年,15000,0,60182,1,0,0,0,,91.82857142857142,56.659267480577135,42.619311875693676,99.44506104328525,75.0
劳动关系,管理学,工商管理类,四年,12800,113275,160520,43,36,64,0,,78.85714285714286,56.659267480577135,83.01886792452831,93.00776914539401,74.9
保加利亚语,文学,外国语言文学类,四年,15000,0,56659,27,0,0,0,,91.82857142857142,56.659267480577135,40.17758046614872,99.66703662597114,74.7
雕塑,艺术学,美术学类,五年，四年,12700,127834,168678,5,60,40,0,,77.54285714285714,56.659267480577135,85.23862375138734,91.89789123196448,74.6
粉体材料科学与工程,工学,材料类,四年,12700,133105,169199,45,74,26,0,,77.54285714285714,56.659267480577135,85.46059933407325,91.67591564927858,74.6
资产评估,管理学,工商管理类,四年,13700,120837,391225,8,34,66,0,,86.45714285714286,56.659267480577135,75.02774694783574,77.6914539400666,74.5
船舶与海洋工程,工学,海洋工程类,四年,13600,125573,378653,28,86,14,0,,85.77142857142857,56.659267480577135,76.13762486126525,78.46836847946726,74.5
放射医学,医学,临床医学类,五年,13500,76169,370882,8,49,51,0,,84.97142857142858,56.659267480577135,77.02552719200888,78.91231964483907,74.4
冶金工程,工学,材料类,四年,12500,132997,265767,8,89,11,0,,75.71428571428571,56.659267480577135,94.33962264150944,84.79467258601554,74.2
马来语,文学,外国语言文学类,四年,13800,0,78275,1,6,94,0,,87.08571428571429,56.659267480577135,50.38845726970034,98.11320754716981,74.1
空间科学与技术,理学,地球物理学类,四年,12600,168230,275185,7,78,22,0,,76.62857142857142,56.659267480577135,92.11986681465038,84.01775804661487,74.1
飞行器制造工程,工学,航空航天类,四年,12300,0,256258,7,90,10,0,,74.28571428571429,56.659267480577135,96.33740288568258,85.46059933407325,74.0
飞行器设计与工程,工学,航空航天类,四年,14300,0,446171,18,86,14,0,,89.37142857142857,56.659267480577135,64.81687014428412,76.24861265260822,73.9
地质学,理学,地质学类,四年,13900,103591,431986,5,74,26,0,,87.6,56.659267480577135,67.25860155382908,76.35960044395117,73.6
越南语,文学,外国语言文学类,四年,13000,0,109064,8,27,73,0,,80.80000000000001,56.659267480577135,63.4850166481687,95.78246392896781,73.2
华文教育,教育学,教育学类,四年,13300,128658,392192,54,67,33,0,,83.71428571428572,56.659267480577135,73.91786903440622,77.13651498335183,73.1
摄影,艺术学,美术学类,四年,13000,124395,359959,7,50,50,0,,80.80000000000001,56.659267480577135,78.57935627081021,78.69034406215316,72.9
水声工程,工学,电子信息类,四年,14300,149181,485159,9,74,26,0,,89.37142857142857,56.659267480577135,57.93562708102109,74.13984461709212,72.6
飞行器适航技术,工学,航空航天类,四年,14400,0,490115,7,67,33,0,,89.82857142857142,56.659267480577135,56.60377358490567,74.02885682574917,72.5
海事管理,管理学,公共管理类,四年,12200,105050,154972,5,91,9,0,,73.25714285714285,56.659267480577135,81.24306326304108,92.56381798002221,72.4
柬埔寨语,文学,外国语言文学类,四年,13600,0,56831,3,22,78,0,,85.77142857142857,56.659267480577135,40.62153163152053,99.22308546059934,72.3
油气储运工程,工学,矿业类,四年,11700,91737,235395,6,71,29,0,,67.94285714285714,56.659267480577135,99.44506104328524,86.34850166481687,72.0
辐射防护与核安全,工学,核工程类,四年,13800,155684,478108,15,67,33,0,,87.08571428571429,56.659267480577135,59.26748057713651,73.58490566037736,71.8
遥感科学与技术,工学,测绘类,四年,13200,148797,423827,20,66,34,0,,82.74285714285713,56.659267480577135,69.03440621531631,75.69367369589345,71.8
资源勘查工程,工学,地质类,四年,12000,133540,275683,9,83,17,0,,71.37142857142858,56.659267480577135,91.67591564927858,82.90788013318536,71.7
石油工程,工学,矿业类,四年,13700,130417,473041,13,81,19,0,,86.45714285714286,56.659267480577135,60.15538290788014,73.80688124306326,71.7
探测制导与控制技术,工学,兵器类,四年,11800,0,178118,13,81,19,0,,69.25714285714287,56.659267480577135,88.79023307436182,90.34406215316315,71.6
服装与服饰设计,艺术学,设计学类,四年,16100,117307,633265,7,22,78,0,,95.31428571428572,56.659267480577135,39.28967813540511,70.25527192008879,71.6
土地资源管理,管理学,公共管理类,四年,12300,106634,325032,5,48,52,0,,74.28571428571429,56.659267480577135,85.46059933407327,80.02219755826859,71.5
道路桥梁与渡河工程,工学,土木类,四年,12400,91371,338029,2,91,9,0,,74.91428571428571,56.659267480577135,83.46281908990012,79.35627081021087,71.4
艺术与科技,艺术学,设计学类,五年，四年,13100,125299,423350,6,37,63,0,,81.71428571428572,56.659267480577135,69.25638179800222,75.24972253052165,71.4
医学信息工程,工学,电子信息类,四年,12800,106677,383059,5,51,49,0,,78.85714285714286,56.659267480577135,75.91564927857937,76.80355160932297,71.4
包装工程,工学,轻工类,四年,11700,86882,253656,7,49,51,0,,67.94285714285714,56.659267480577135,96.7813540510544,84.35072142064372,71.3
功能材料,工学,材料类,四年,13200,126635,433876,4,66,34,0,,82.74285714285713,56.659267480577135,66.81465038845727,74.80577136514984,71.3
焊接技术与工程,工学,材料类,四年，五年,12000,135582,288079,12,92,8,0,,71.37142857142858,56.659267480577135,89.67813540510542,81.90899001109878,71.3
自动化,工学,自动化类,四年,12100,128099,2454527,93,81,19,60,10500.0,72.28571428571429,99.38956714761376,6.437291897891242,43.06326304106548,71.2
海洋技术,理学,海洋科学类,四年,11600,131149,214434,5,64,36,0,,66.28571428571428,56.659267480577135,95.67147613762486,87.6803551609323,71.0
水务工程,工学,水利类,四年,11900,74145,150556,3,76,24,0,,70.28571428571428,56.659267480577135,80.13318534961155,92.78579356270811,71.0
能源化学工程,工学,化工与制药类,四年,13700,108219,489122,7,73,27,0,,86.45714285714286,56.659267480577135,57.04772475027746,72.69700332963373,71.0
医学实验技术,医学,医学技术类,四年,14600,72635,559276,5,34,66,0,,90.51428571428572,56.659267480577135,47.724750277469475,71.1431742508324,71.0
数理基础科学,理学,数学类,四年,13800,148704,510134,3,78,22,0,,87.08571428571429,56.659267480577135,54.384017758046625,72.03107658157603,70.8
水质科学与技术,工学,环境科学与工程类,四年,12100,85505,125422,44,67,33,0,,72.28571428571429,56.659267480577135,71.03218645948945,94.56159822419534,70.8
法语,文学,外国语言文学类,四年,16500,77201,728475,5,15,85,0,,96.39999999999999,56.659267480577135,34.1842397336293,67.03662597114317,70.7
戏剧影视文学,艺术学,戏剧与影视学类,四年,12700,98885,391294,5,28,72,0,,77.54285714285714,56.659267480577135,74.58379578246392,76.47058823529412,70.7
德语,文学,外国语言文学类,四年,12800,77084,413135,3,17,83,0,,78.85714285714286,56.659267480577135,71.92008879023308,75.47169811320755,70.6
采矿工程,工学,矿业类,四年,13300,129440,467064,3,99,1,0,,83.71428571428572,56.659267480577135,60.59933407325193,73.25194228634851,70.6
资源环境科学,工学,环境科学与工程类,四年,11500,93346,219088,3,54,46,0,,64.74285714285715,56.659267480577135,96.55937846836848,87.0144284128746,70.4
木材科学与工程,工学,林业工程类,四年,11900,0,133525,5,57,43,0,,70.28571428571428,56.659267480577135,74.36182019977802,94.00665926748057,70.4
外交学,法学,政治学类,四年,15400,115223,648459,14,23,77,0,,93.54285714285714,56.659267480577135,37.95782463928967,68.25749167591565,70.3
标准化工程,管理学,工业工程类,四年,12500,94956,383417,3,39,61,0,,75.71428571428571,56.659267480577135,75.69367369589347,76.58157602663707,70.1
药学,医学,药学类,四年,11600,118263,1618186,63,32,68,60,5500.0,66.28571428571428,99.38956714761376,11.764705882352942,45.172031076581575,69.9
智能科学与技术,工学,计算机类,四年,16600,132254,803200,35,73,27,0,,96.8,56.659267480577135,30.188679245283012,63.70699223085461,69.8
运动人体科学,教育学,体育学类,四年,11400,69897,216436,7,60,40,0,,63.37142857142857,56.659267480577135,95.89345172031076,87.12541620421753,69.8
数字出版,文学,新闻传播学类,四年,13600,122500,531113,2,34,66,0,,85.77142857142857,56.659267480577135,51.276359600443946,70.58823529411765,69.6
消防指挥,法学,公安学类,四年,11500,0,265028,2,0,0,0,,64.74285714285715,56.659267480577135,94.78357380688125,82.7968923418424,69.5
心理学,理学,心理学类,四年,11800,124163,2865462,69,22,78,60,8250.0,69.25714285714287,99.38956714761376,4.4395116537181,42.17536071032186,69.5
房地产开发与管理,管理学,管理科学与工程类,四年,14300,93672,595028,6,48,52,0,,89.37142857142857,56.659267480577135,43.06326304106549,68.81243063263041,69.5
体育经济与管理,管理学,工商管理类,四年,13200,82309,489177,5,47,53,0,,82.74285714285713,56.659267480577135,56.82574916759155,71.92008879023307,69.4
交通设备与控制工程,工学,交通运输类,四年,13500,109023,529898,6,75,25,0,,84.97142857142858,56.659267480577135,51.49833518312985,70.36625971143174,69.3
信息资源管理,管理学,图书情报与档案管理类,四年,11700,128510,309529,3,32,68,0,,67.94285714285714,56.659267480577135,87.0144284128746,79.80022197558269,69.2
农业建筑环境与能源工程,工学,农业工程类,四年,11700,0,125615,6,71,29,0,,67.94285714285714,56.659267480577135,71.47613762486127,94.45061043285239,69.1
应用气象学,理学,大气科学类,四年,13500,0,541565,12,50,50,0,,84.97142857142858,56.659267480577135,49.944506104328525,69.58934517203107,68.9
电子商务及法律,管理学,电子商务类,四年,12400,115031,413721,3,50,50,0,,74.91428571428571,56.659267480577135,71.69811320754718,74.47280799112099,68.9
金属材料工程,工学,材料类,四年,11500,132996,277054,7,80,20,0,,64.74285714285715,56.659267480577135,91.45394006659266,81.79800221975583,68.9
水族科学与技术,农学,水产类,四年,11600,79053,137585,1,52,48,0,,66.28571428571428,56.659267480577135,75.91564927857935,93.56270810210877,68.9
应用语言学,文学,中国语言文学类,四年,12200,110816,391974,2,57,43,0,,73.25714285714285,56.659267480577135,74.36182019977801,75.5826859045505,68.8
蒙医学,医学,中医学类,五年,11600,108272,132680,3,40,60,0,,66.28571428571428,56.659267480577135,74.02885682574916,93.84017758046615,68.7
蒙医学,医学,中医学类,五年,11600,108272,132680,3,40,60,0,,66.28571428571428,56.659267480577135,74.02885682574916,93.84017758046615,68.7
舞蹈学,艺术学,音乐与舞蹈学类,四年,11100,81516,233680,3,24,76,0,,59.94285714285714,56.659267480577135,99.88901220865705,85.12763596004439,68.7
复合材料与工程,工学,材料类,四年,11500,130386,285922,1,72,28,0,,64.74285714285715,56.659267480577135,90.34406215316315,81.13207547169812,68.6
公安视听技术,工学,公安技术类,四年,11300,122495,261301,5,90,10,0,,62.05714285714286,56.659267480577135,95.22752497225304,82.68590455049944,68.5
警犬技术,法学,公安学类,四年,11400,140640,273554,6,85,15,0,,63.37142857142857,56.659267480577135,92.3418423973363,82.01997780244173,68.5
火灾勘查,工学,公安技术类,四年,11700,73529,113298,1,0,0,0,,67.94285714285714,56.659267480577135,67.03662597114317,95.338512763596,68.5
老挝语,文学,外国语言文学类,四年,12300,0,72321,5,12,88,0,,74.28571428571429,56.659267480577135,47.05882352941176,97.669256381798,68.4
物业管理,管理学,工商管理类,四年,11400,70846,283303,16,32,68,0,,63.37142857142857,56.659267480577135,90.56603773584905,81.24306326304107,68.1
药物化学,医学,药学类,四年,12300,120359,429207,1,51,49,0,,74.28571428571429,56.659267480577135,68.14650388457271,73.36293007769146,67.9
水利水电工程,工学,水利类,四年,13000,94714,515983,14,79,21,0,,80.80000000000001,56.659267480577135,53.94006659267481,69.92230854605992,67.9
绘画,艺术学,美术学类,四年,11700,127834,351107,4,41,59,0,,67.94285714285714,56.659267480577135,80.79911209766925,76.69256381798002,67.8
警卫学,法学,公安学类,四年,10900,0,234126,38,0,0,0,,57.657142857142865,56.659267480577135,99.66703662597114,84.46170921198669,67.7
海洋油气工程,工学,矿业类,四年,11800,140822,370869,2,85,15,0,,69.25714285714287,56.659267480577135,77.2475027746948,76.02663706992232,67.7
农业水利工程,工学,农业工程类,四年,11300,83636,149464,6,71,29,0,,62.05714285714286,56.659267480577135,79.68923418423974,92.00887902330743,67.6
经济与金融,经济学,金融学类,四年,15500,122479,886355,6,35,65,0,,94.0,56.659267480577135,26.41509433962264,60.48834628190899,67.6
公安情报学,法学,公安学类,四年,11400,0,304231,1,88,12,0,,63.37142857142857,56.659267480577135,87.6803551609323,79.68923418423974,67.5
核工程与核技术,工学,核工程类,四年,12600,133902,467451,31,85,15,0,,76.62857142857142,56.659267480577135,60.377358490566046,71.80910099889012,67.5
智能电网信息工程,工学,电气类,四年,14500,117182,743034,11,72,28,0,,90.17142857142856,56.659267480577135,33.29633740288568,62.48612652608213,67.4
导航工程,工学,测绘类,四年,12400,155379,450971,5,63,37,0,,74.91428571428571,56.659267480577135,63.4850166481687,72.5860155382908,67.4
化学工程与工业生物工程,工学,化工与制药类,四年,11300,103668,293679,2,70,30,0,,62.05714285714286,56.659267480577135,88.56825749167592,80.2441731409545,67.1
边防管理,法学,公安学类,四年,11100,123899,160460,3,83,17,0,,59.94285714285714,56.659267480577135,82.7968923418424,91.12097669256381,67.1
农业机械化及其自动化,工学,农业工程类,四年,10800,105038,230007,3,87,13,0,,56.17142857142857,56.659267480577135,99.44506104328525,84.68368479467259,67.1
林产化工,工学,林业工程类,四年,11100,127609,157913,3,62,38,0,,59.94285714285714,56.659267480577135,82.13096559378468,91.34295227524973,67.0
农业工程,工学,农业工程类,四年,10800,104118,220551,6,62,38,0,,56.17142857142857,56.659267480577135,97.2253052164262,86.01553829078802,67.0
