job_name,salary_raw,salary_min,salary_max,salary_months,company_name,company_size,company_type,industry,city,district,experience,education,job_type,job_url,tags,search_keyword,salary_avg,has_salary
AI漫剧导演,5000-10000元,5000.0,10000.0,12,长沙天使文化股份有限公司,100-299人,合资,广播/影视,长沙,岳麓·银盆岭,1-3年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC229402080J40839949110.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['动画导演', '分镜导演']",AIGC视频导演,7500.0,True
节目总导演,1.2-2万,12000.0,20000.0,12,华影文旅集团有限公司,100-299人,股份制企业,文化艺术/娱乐,北京,大兴·荣华街道,5-10年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC698716280J40878891412.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,['文旅节目导演'],AIGC视频导演,16000.0,True
AI漫剧导演,4000-6000元,4000.0,6000.0,12,河南艺人智造文化传播有限公司,20-99人,民营,广播/影视,郑州,金水·祭城路,经验不限,中专/中技,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC844641980J40819552501.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['后期导演', '分镜导演', '动画导演', '短视频导演']",AIGC视频导演,5000.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛青芒互娱传媒有限公司,300-499人,股份制企业,广播/影视,南昌,红谷滩·沙井,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1515310010J40841805714.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['短视频', '直播', '电影', '电视剧', '电视栏目', '电台', '广告片', '游戏', '戏剧', '动画行业']",AIGC视频导演,9000.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,广州,天河·冼村,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628003.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
活动导演,6000-8000元·13薪,6000.0,8000.0,13,山东天演智能科技有限公司,100-299人,股份制企业,计算机软件,济南,历下·舜华路,1-3年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1334264810J40896442808.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['执行导演', '分镜导演', '短视频导演', '活动导演', '赛事导演', '纪录片导演', '广告类', '科教类', '策划导演']",AIGC视频导演,7000.0,True
短视频导演（拍剪向）,8000-15000元,8000.0,15000.0,12,顺丰速运,10000人以上,上市公司,货运/物流/仓储,长沙,芙蓉·东湖,3-5年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC131486150J40841464214.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['摄像', '短视频']",AIGC视频导演,11500.0,True
视频导演/编导,1-1.5万,10000.0,15000.0,12,国艺同行(北京)集团有限公司,20-99人,民营,广播/影视,北京,朝阳·亚运村,3-5年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1417157900J40821545705.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,['广告片导演'],AIGC视频导演,12500.0,True
音频导演,5000-10000元,5000.0,10000.0,12,江苏优烨文化传媒有限公司,1000-9999人,民营,广播/影视,南京,江宁·秣陵,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC816629200J40837806305.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['后期导演', '短视频导演']",AIGC视频导演,7500.0,True
导演助理,4000-8000元,4000.0,8000.0,12,深圳市中导文化传播有限公司,20-99人,民营,广播/影视,深圳,龙岗·横岗,经验不限,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC665288280J40296866808.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['短视频导演', '直播导演', '电影导演', '健康类', '摄影类', '广告类', '执行导演']",AIGC视频导演,6000.0,True
编导/导演,面议,,,12,华为技术有限公司,10000人以上,民营,运营商/增值服务,北京,丰台·太平桥,3-5年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC000542940J40841378814.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['短视频', '导演', '脚本创作']",AIGC视频导演,,False
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,重庆,万州·高笋塘,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628103.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
编辑导演,2.2-3.5万,22000.0,35000.0,12,深圳市红色健康集团有限公司,20-99人,其它,医疗设备/器械,深圳,南山·南山,10年以上,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1436058140J40778534310.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['直播导演', '短视频导演', '广告片导演', '访谈类', '综艺类', '新闻类', '电影导演', '电视栏目导演', '电视剧导演', '健康类', '医疗类']",AIGC视频导演,28500.0,True
漫剧导演-重庆,8000-15000元,8000.0,15000.0,12,北京活悦管理咨询有限公司,20-99人,民营,企业服务,重庆,两江新区,1-3年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1474355800J40872366603.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['执行导演', '短视频导演']",AIGC视频导演,11500.0,True
AI动态漫导演 包住宿,6000-8000元,6000.0,8000.0,12,河南登收网络科技有限公司,20-99人,民营,计算机软件,郑州,金水·文化路,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1502028360J40877253712.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['执行导演', '电影导演', '电视剧导演', '电视栏目导演', '创意构思', '团队协作', '市场敏感度']",AIGC视频导演,7000.0,True
AI导演,1-2万,10000.0,20000.0,12,威科姆,300-499人,股份制企业,IT服务,郑州,中原·沟赵,1-3年,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC120600680J40917377508.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['后期导演', '商务导演', '执行导演', '电影导演', '电视剧导演', '短视频导演', '短剧', '动画导演', '广播剧导演']",AIGC视频导演,15000.0,True
漫剧导演-广州,8000-15000元,8000.0,15000.0,12,北京活悦管理咨询有限公司,20-99人,民营,企业服务,广州,天河·员村,1-3年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1474355800J40872366003.htm?refcode=4019&srccode=401903&preactionid=1e1dc2cc-41be-4ef2-8b92-362899c6fd37,"['执行导演', '短视频导演']",AIGC视频导演,11500.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,天津,滨海新区·塘沽,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628203.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
剧组导演助理,5000-10000元,5000.0,10000.0,12,中星影人(北京)网络影视有限公司,20-99人,民营,广播/影视,广州,黄埔·长岭,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1486120250J40893309308.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['电影', '电视剧', '网剧', '短剧']",AIGC视频导演,7500.0,True
综艺节目导演,1.5-1.8万,15000.0,18000.0,12,眉山九香茶王茶业有限公司,100-299人,民营,零售/批发,眉山,东坡区·思蒙镇,3-5年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1216438430J40752911306.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,['综艺类'],AIGC视频导演,16500.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,南京,江宁·东山,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628803.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
演艺导演,1-1.5万,10000.0,15000.0,12,华影文旅集团有限公司,100-299人,股份制企业,文化艺术/娱乐,北京,大兴·荣华街道,5-10年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC698716280J40877085112.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,['文艺演出导演'],AIGC视频导演,12500.0,True
AI影视剧导演（实习）,150-200元/天,150.0,200.0,12,图灵智算(南京)信息技术有限公司,100-299人,民营,人工智能,南京,栖霞·马群,无经验,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC457408230J40782054916.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频导演', '电视剧导演', '分镜导演', '后期导演', '实习导演']",AIGC视频导演,175.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,杭州,拱墅·祥符,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875629003.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
剧组导演助理,5000-10000元,5000.0,10000.0,12,中星影人(北京)网络影视有限公司,20-99人,民营,广播/影视,厦门,同安·五显,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1486120250J40887765608.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['电影', '电视剧', '网剧', '短剧']",AIGC视频导演,7500.0,True
动画导演,5-8万·15薪,50000.0,80000.0,15,四川漫恩影业有限公司,100-299人,民营,文化艺术/娱乐,成都,武侯·石羊,10年以上,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1500948360J40896486304.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['动画导演', '戏剧导演', '电影导演', '执行导演', '后期导演', '分镜导演', '选角导演']",AIGC视频导演,65000.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,宁波,鄞州·钟公庙,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875629203.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
导演/编导（个人IP打造）,9000-12000元,9000.0,12000.0,12,麻辣空间,1000-9999人,民营,餐饮服务,成都,武侯·石羊,3-5年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC147799050J40825241607.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频导演', '直播导演', '美食类']",AIGC视频导演,10500.0,True
视频导演,1.5-2万,15000.0,20000.0,12,上海缔壹品牌管理有限公司,20-99人,民营,咨询服务,上海,青浦·徐泾,3-5年,中专/中技,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1269584340J40788963816.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['电影导演', '电视剧导演', '创意与想象力', '团队领导力', '影片宣传推广']",AIGC视频导演,17500.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,武汉,蔡甸·沌口,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875628303.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
摄影导演,7000-12000元,7000.0,12000.0,12,风语筑,1000-9999人,上市公司,装饰装修,上海,静安·彭浦,经验不限,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1225803580J40703776111.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['执行导演', '动画导演', '短视频导演']",AIGC视频导演,9500.0,True
资深编导/导演,1.5-1.8万,15000.0,18000.0,12,上海集心网络科技有限公司,20-99人,其它,新媒体,北京,西城·椿树,5-10年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC524018680J40920461102.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '动画', '广告类', '金融', '接受出差', '乙方']",AIGC视频导演,16500.0,True
导演助理,8000-10000元,8000.0,10000.0,12,青岛光夜景程传媒有限公司,300-499人,合资,广播/影视,上海,松江·中山,经验不限,学历不限,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1514675870J40875627903.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '直播', '电影', '电视剧', '广告片', '电视栏目', '电台', '广播剧', '动画行业', '游戏']",AIGC视频导演,9000.0,True
导演编剧,4000-7000元,4000.0,7000.0,12,黑龙江创龙数字科技有限公司,20-99人,民营,广告/营销,哈尔滨,道里·工农,3-5年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1500298940J40839708510.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频编剧', '漫画编剧', '动漫编剧', '剧本编剧']",AIGC视频导演,5500.0,True
分镜导演/编导,1-1.5万,10000.0,15000.0,12,杭州指针信息技术有限公司,300-499人,民营,云计算/大数据,杭州,钱塘·白杨,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CC484435980J40875975003.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['短视频', '动画', '电视剧', '动漫类', 'AI短剧', '真人短剧', '分镜头导演', '动态漫', 'AIGC']",AIGC视频导演,12500.0,True
导演,8000-13000元,8000.0,13000.0,12,中建盛源(吉林)建设工程有限公司,100-299人,民营,工程施工,辽源,西安区·先锋街道,1-3年,大专,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1311059280J40875928903.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['体育赛事导演', '演艺导演']",AIGC视频导演,10500.0,True
动态漫导演,6000-12000元,6000.0,12000.0,12,河南中夏星影文化传媒有限公司,20-99人,民营,文化艺术/娱乐,郑州,金水·北林路,1-3年,本科,AIGC视频导演,http://www.zhaopin.com/jobdetail/CCL1200728710J40916788008.htm?refcode=4019&srccode=401903&preactionid=55438010-71fa-40b9-af32-e85db0b2f59d,"['电视剧导演', '项目投资方向', '剧本创作', '团队管理', '执行导演', '后期导演', '分镜导演', '动画导演']",AIGC视频导演,9000.0,True
AIGC 内容生成设计师,8000-12000元,8000.0,12000.0,12,南京煌华建筑装饰设计有限公司,20人以下,民营,装饰装修,南京,江宁·麒麟,经验不限,大专,AIGC设计师,http://www.zhaopin.com/jobdetail/CC425433610J40798714609.htm?refcode=4019&srccode=401903&preactionid=3da22823-c150-4e73-9009-b66a669d2439,['AIGC'],AIGC设计师,10000.0,True
AIGC动画设计师,8000-12000元,8000.0,12000.0,12,西藏易境旅游景观规划设计有限公司四川分公司,100-299人,民营,建筑设计,成都,武侯·桂溪,1-3年,本科,AIGC设计师,http://www.zhaopin.com/jobdetail/CCL1292138880J40822761010.htm?refcode=4019&srccode=401903&preactionid=3da22823-c150-4e73-9009-b66a669d2439,"['AIGC', '游戏动作设计', '游戏设计', '动画设计', '动画特效', '设计师']",AIGC设计师,10000.0,True
AIGC设计师[双休],7000-14000元,7000.0,14000.0,12,大连新北方世纪策划创意有限公司,20-99人,股份制企业,广告/营销,大连,甘井子·凌水,经验不限,学历不限,AIGC设计师,http://www.zhaopin.com/jobdetail/CC294003980J40859530103.htm?refcode=4019&srccode=401903&preactionid=3da22823-c150-4e73-9009-b66a669d2439,['AIGC'],AIGC设计师,10500.0,True
急聘！AIGC设计师＋5000底薪,6000-12000元,6000.0,12000.0,12,河南登收网络科技有限公司,20-99人,民营,计算机软件,郑州,金水·文化路,经验不限,学历不限,AIGC设计师,http://www.zhaopin.com/jobdetail/CCL1502028360J40874663212.htm?refcode=4019&srccode=401903&preactionid=3da22823-c150-4e73-9009-b66a669d2439,['角色设计'],AIGC设计师,9000.0,True
AIGC设计师,2-2.5万,20000.0,25000.0,12,深圳星寻科技有限公司,20-99人,其它,文化艺术/娱乐,深圳,南山·粤海,1-3年,学历不限,AIGC设计师,http://www.zhaopin.com/jobdetail/CCL1424883590J40812266703.htm?refcode=4019&srccode=401903&preactionid=3da22823-c150-4e73-9009-b66a669d2439,"['剪映', '达芬奇', 'AI', 'AIGC', 'AI生成人物']",AIGC设计师,22500.0,True
