job_name,salary_raw,salary_min,salary_max,salary_months,company_name,company_size,company_type,industry,city,district,experience,education,job_type,job_url,tags,salary_avg,salary_annual_est,experience_std,education_std,experience_years,salary_level,has_salary
投诉管理岗,1-1.8万,10000.0,18000.0,12,中国太平洋人寿保险股份有限公司,10000人以上,国企,保险,北京,西城·金融街,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC226851110J40860788203.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,[],14000.0,168000.0,3-5年,本科,4.0,10K-15K,True
硬件产品经理,1.5-3万,15000.0,30000.0,12,唐人通信技术服务股份有限公司,1000-9999人,股份制企业,运营商/增值服务,北京,丰台·看丹,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC178131320J40872173003.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,[],22500.0,270000.0,3-5年,本科,4.0,20K-30K,True
体外药理药效研究员,1.3-2.2万·14薪,13000.0,22000.0,14,寻济生物科技(北京)有限公司,20-99人,港澳台公司,医药制造,北京,海淀,3-5年,硕士,,http://www.zhaopin.com/jobdetail/CCL1350817650J40824375901.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['药效学研究', '药物安全性研究', '新药', '生物药物', '大分子药物', '细胞模型', '药理评价模型', '药理学', '非临床研究', 'IND', '药物研发']",17500.0,245000.0,3-5年,硕士,4.0,15K-20K,True
综合部主任,8000-12000元,8000.0,12000.0,12,青岛亚美邦达国际物流有限公司,20人以下,其它,货运/物流/仓储,北京,海淀·田村路,5-10年,大专,,http://www.zhaopin.com/jobdetail/CCL1358977680J40554072101.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['接待事务', '内勤管理', '后勤管理']",10000.0,120000.0,5-10年,大专,7.5,10K-15K,True
生态修复工程师,1.4-2万,14000.0,20000.0,12,北京中科发展环境科学研究院有限公司,20人以下,民营,环保,北京,海淀·甘家口,5-10年,本科,,http://www.zhaopin.com/jobdetail/CCL1326481700J40722084301.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['生态咨询', '流域生态治理', '土地整治', '矿山生态治理', '资金申报', '生态保护', '方案编制', '湿地生态治理', '注册咨询师', '高级工程师']",17000.0,204000.0,5-10年,本科,7.5,15K-20K,True
科技发展部行政助理（北京）,5000-10000元,5000.0,10000.0,12,深空探测实验室(天都实验室),500-999人,国企,船舶/航空/航天/火车制造,北京,海淀,经验不限,本科,,http://www.zhaopin.com/jobdetail/CCL1404083170J40632657503.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,['内勤管理'],7500.0,90000.0,不限,本科,,5K-10K,True
一站式通关边检站项目——项目经理,1.4-2.8万,14000.0,28000.0,12,九洲纵横(山东)国际商务有限公司,旅游服务,100-299人,,北京,通州·宋庄,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CCL1492371870J40815986303.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,[],21000.0,252000.0,不限,不限,,20K-30K,True
农药登记技术经理,9000-15000元,9000.0,15000.0,12,北京优农利达科技有限公司,20人以下,民营,农/林/牧/渔,北京,朝阳,3-5年,本科,,http://www.zhaopin.com/jobdetail/CCL1322803020J40437310803.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['药品注册', '理化分析', '田间药效']",12000.0,144000.0,3-5年,本科,4.0,10K-15K,True
问界-新媒体运营主管,1-1.6万,10000.0,16000.0,12,赛力斯集团股份有限公司,10000人以上,民营,汽车研发/制造,北京,昌平·北七家,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC465219810J40805282703.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,"['抖音', '小红书', '电商类', '汽车类']",13000.0,156000.0,3-5年,本科,4.0,10K-15K,True
外科住院医师,1.2-2.4万,12000.0,24000.0,12,北京王府中西医结合医院,500-999人,民营,卫生服务,北京,昌平·北七家,1-3年,本科,,http://www.zhaopin.com/jobdetail/CC266755510J40587090403.htm?refcode=4019&srccode=401903&preactionid=2b5ab222-f149-48c9-b617-b3b95ac7c5a4,['外科病房'],18000.0,216000.0,1-3年,本科,2.0,15K-20K,True
研发零部件质量管理工程师(应届校园招聘),9000-15000元·15薪,9000.0,15000.0,15,北京汽车研究总院有限公司,500-999人,国企,学术/科研,北京,顺义·旺泉,1年以下,硕士,,http://www.zhaopin.com/jobdetail/CC211593410J40818632209.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['供应商质量工程师', '研发质量工程师', '过程质量工程师']",12000.0,180000.0,0-1年,硕士,0.5,10K-15K,True
房山快乐猴超市店员7-8K,面议,,,12,北京三快在线科技有限公司,10000人以上,上市公司,互联网,北京,密云·鼓楼,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CC383625320J40817785709.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['超市', '便利店', '餐饮店', '甜品店', '咖啡店', '奶茶店', '连锁餐饮店', '连锁奶茶店', '物流行业']",,,不限,不限,,面议,False
汽车设计研发助理,5000-10000元,5000.0,10000.0,12,保定哲凡汽车科技有限公司,20-99人,民营,汽车研发/制造,北京,朝阳,经验不限,大专,,http://www.zhaopin.com/jobdetail/CCL1482713010J40829518209.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['数模设计', 'catia', '适应出差', '仿真设计']",7500.0,90000.0,不限,大专,,5K-10K,True
整车道路可靠性试验工程师(应届校园招聘),9000-14000元·15薪,9000.0,14000.0,15,北京汽车研究总院有限公司,500-999人,国企,学术/科研,北京,大兴·荣华街道,1年以下,硕士,,http://www.zhaopin.com/jobdetail/CC211593410J40827077709.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['乘用车', '新能源车', '路试测试', '三高测试', '驾驶性测试']",11500.0,172500.0,0-1年,硕士,0.5,10K-15K,True
月薪9500+招聘家电清洗包教会,9000-15000元,9000.0,15000.0,12,京东集团,10000人以上,合资,互联网,北京,东城·前门,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CC192921310J40830394009.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['家电清洗工', '拆洗空调洗衣机', '家电清洗师傅', '拆洗油烟机，热水器']",12000.0,144000.0,不限,不限,,10K-15K,True
流程管理经理/总监（工程类）,1.5-2万,15000.0,20000.0,12,长懿兆业(北京)企业咨询有限公司,100-299人,民营,咨询服务,北京,海淀,5-10年,本科,,http://www.zhaopin.com/jobdetail/CCL1259578570J40753996310.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['市政工程', '安装工程', '办公建筑', '医疗建筑', '商业建筑', '一级建造师']",17500.0,210000.0,5-10年,本科,7.5,15K-20K,True
海外试验工程师,1.5-2.5万·15薪,15000.0,25000.0,15,北京汽车研究总院有限公司,500-999人,国企,学术/科研,北京,大兴·荣华街道,经验不限,本科,,http://www.zhaopin.com/jobdetail/CC211593410J40830938509.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['海外试验', '乘用车', '新能源车']",20000.0,300000.0,不限,本科,,20K-30K,True
客户信息采集专员,3000-5000元,3000.0,5000.0,12,深圳市明之芯电子科技有限公司,20-99人,民营,电子/半导体/集成电路,北京,海淀·中关村,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CCL1251497380J40835018909.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['数据抽取', '大学生兼职', '空闲时间兼职', '周末兼职']",4000.0,48000.0,不限,不限,,5K以下,True
家居饰品送货安装师傅,1-1.5万,10000.0,15000.0,12,北京众联亿家科技有限公司,20-99人,民营,装饰装修,北京,大兴·庞各庄,3-5年,中专/中技,,http://www.zhaopin.com/jobdetail/CC309993130J40834727409.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,[],12500.0,150000.0,3-5年,中专,4.0,10K-15K,True
总体设计工程师,1.5-3万·15薪,15000.0,30000.0,15,北京汽车研究总院有限公司,500-999人,国企,学术/科研,北京,顺义·旺泉,经验不限,本科,,http://www.zhaopin.com/jobdetail/CC211593410J40831949009.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['汽车整车总布置', '汽车车身总布置', '汽车底盘总布置', '汽车零部件总布置', '整车集成']",22500.0,337500.0,不限,本科,,20K-30K,True
图书馆书库/集体库馆员,7000-14000元,7000.0,14000.0,12,尚亦城(北京)科技文化集团有限公司,100-299人,国企,文化艺术/娱乐,北京,通州·台湖,3-5年,本科,,http://www.zhaopin.com/jobdetail/CCL1277034680J40834825810.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['图书整理', '图书馆', '图书借阅']",10500.0,126000.0,3-5年,本科,4.0,10K-15K,True
行政管理岗,5000-7000元·13薪,5000.0,7000.0,13,北京九州通医药有限公司,10000人以上,上市公司,医药制造,北京,大兴·观音寺,1-3年,本科,,http://www.zhaopin.com/jobdetail/CC217786910J40834200010.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['内勤管理', '采购事务', '固定资产管理']",6000.0,78000.0,1-3年,本科,2.0,5K-10K,True
营销专员,5000-7000元,5000.0,7000.0,12,北京国电京网电力工程有限公司,100-299人,民营,工程施工,北京,昌平·城南,经验不限,本科,,http://www.zhaopin.com/jobdetail/CC434635220J40286037211.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,['客户支持'],6000.0,72000.0,不限,本科,,5K-10K,True
行政专员,7000-10000元,7000.0,10000.0,12,北京市竞天公诚律师事务所,500-999人,民营,咨询服务,北京,朝阳·八里庄,1-3年,本科,,http://www.zhaopin.com/jobdetail/CC121051855J00145271710.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['办公自动化', '资料管理']",8500.0,102000.0,1-3年,本科,2.0,5K-10K,True
隧道电力土建工程专员,1.1-1.2万,11000.0,12000.0,12,百思特,10000人以上,民营,运营商/增值服务,北京,通州·宋庄,3-5年,学历不限,,http://www.zhaopin.com/jobdetail/CC120170440J40829154410.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['隧道工程', '交通隧道', '市政隧道', '施工单位', '土建工程']",11500.0,138000.0,3-5年,不限,4.0,10K-15K,True
飞控工程师,2-4万,20000.0,40000.0,12,时空穿梭(北京)无人机有限公司,100-299人,股份制企业,船舶/航空/航天/火车制造,北京,石景山·古城,3-5年,博士,,http://www.zhaopin.com/jobdetail/CCL1513690060J40834585410.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['无人机控制系统', '无人机控制算法']",30000.0,360000.0,3-5年,博士,4.0,30K-50K,True
高级医学编辑/医学总编辑,1.5-2万,15000.0,20000.0,12,北京远大康程健康科技有限公司,100-299人,民营,卫生服务,北京,朝阳,1-3年,本科,,http://www.zhaopin.com/jobdetail/CC644859920J40719911511.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['原创撰稿', '心血管科编辑', '手术稿', '策划选题', '会议报道']",17500.0,210000.0,1-3年,本科,2.0,15K-20K,True
600一天 海淀区 美团外卖日结,1-1.5万,10000.0,15000.0,12,宁波万古配送服务有限公司,1000-9999人,股份制企业,餐饮服务,北京,海淀·中关村,无经验,初中及以下,,http://www.zhaopin.com/jobdetail/CCL1269610600J40821874110.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['美团', '餐饮外卖', '无驾照要求', '食品健康证', '会骑电动车', '无犯罪记录', '公司提供电动车/摩托车']",12500.0,150000.0,0年,初中,0.0,10K-15K,True
销售业务助理/销售管培生,4000-6000元,4000.0,6000.0,12,北京创元成业科技有限公司,20-99人,民营,电子/半导体/集成电路,北京,顺义·赵全营,经验不限,大专,,http://www.zhaopin.com/jobdetail/CC383610920J40816119710.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,['销售助理'],5000.0,60000.0,不限,大专,,5K-10K,True
烤鸭店餐厅招服务员/包吃住/6-7k/工作轻松不累,6000-7000元,6000.0,7000.0,12,众腾人力资源集团有限公司,300-499人,上市公司,人力资源服务,北京,大兴·兴丰,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CC459533920J40851798913.htm?refcode=4019&srccode=401903&preactionid=e5f61d0b-5f7b-43c3-8063-d6ad8b9aec1b,"['包吃包住', '中餐厅', '西餐厅', '火锅店', '工龄奖金', '免费工装', '节日福利', '三薪']",6500.0,78000.0,不限,不限,,5K-10K,True
SAE线下活动,9000-15000元,9000.0,15000.0,12,北京东恒会展服务股份有限公司,20-99人,股份制企业,会议/展览,北京,朝阳·酒仙桥,1-3年,本科,,http://www.zhaopin.com/jobdetail/CC452026530J40837626410.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,[],12000.0,144000.0,1-3年,本科,2.0,10K-15K,True
工资面议-学前部办公室经理/校长助理,2000-3000元,2000.0,3000.0,12,北京德威英国国际学校,300-499人,外商独资,培训/辅导服务,北京,顺义·空港,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC142074370J40837604510.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,[],2500.0,30000.0,3-5年,本科,4.0,5K以下,True
销售文员,5000-7000元,5000.0,7000.0,12,北京国生汽车销售服务有限公司,100-299人,股份制企业,汽车4S店/经销商,北京,朝阳,经验不限,大专,,http://www.zhaopin.com/jobdetail/CC137819750J00043989113.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['office', '数据统计分析']",6000.0,72000.0,不限,大专,,5K-10K,True
后勤主管（密云区有宿舍、食堂）,6000-7000元,6000.0,7000.0,12,友康生物,100-299人,民营,医药制造,北京,密云·河南寨,3-5年,中专/中技,,http://www.zhaopin.com/jobdetail/CC547347320J40871696603.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['食堂管理', '宿舍管理', '采购事务']",6500.0,78000.0,3-5年,中专,4.0,5K-10K,True
物流客服文员,6000-7000元,6000.0,7000.0,12,北京春溢通物流有限公司,100-299人,民营,客运服务,北京,朝阳,1-3年,大专,,http://www.zhaopin.com/jobdetail/CC163532020J40786357612.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,[],6500.0,78000.0,1-3年,大专,2.0,5K-10K,True
物流客服,5000-6000元,5000.0,6000.0,12,华夏荣生(北京)供应链有限公司,100-299人,民营,货运/物流/仓储,北京,顺义,1-3年,学历不限,,http://www.zhaopin.com/jobdetail/CCL1411676290J40859673612.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['环境好', '同城货运', '冷链运输', '公路运输', '干线货运', '包三餐']",5500.0,66000.0,1-3年,不限,2.0,5K-10K,True
化验员,5000-7000元,5000.0,7000.0,12,定州市露洁化工有限公司,100-299人,股份制企业,环保,北京,门头沟·潭柘寺,经验不限,中专/中技,,http://www.zhaopin.com/jobdetail/CC280108510J40862491812.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['理化检测', '微生物检测', '质谱检测']",6000.0,72000.0,不限,中专,,5K-10K,True
急招钻工 月入18000,1.6-1.8万,16000.0,18000.0,12,中铁十九局集团矿业投资有限公司北京信息技术分公司,100-299人,国企,计算机软件,北京,丰台·六里桥,5-10年,学历不限,,http://www.zhaopin.com/jobdetail/CCL1262844240J40868345812.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,[],17000.0,204000.0,5-10年,不限,7.5,15K-20K,True
配件计划员/库管员（一汽大众）,6000-8000元,6000.0,8000.0,12,北京北苑福瑞汽车销售服务有限公司,100-299人,其它,汽车研发/制造,北京,朝阳,3-5年,学历不限,,http://www.zhaopin.com/jobdetail/CC437741610J40851373513.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,[],7000.0,84000.0,3-5年,不限,4.0,5K-10K,True
汽车内外饰工程师,2-3万,20000.0,30000.0,12,深圳市法本信息技术股份有限公司,1000-9999人,上市公司,计算机软件,北京,顺义·高丽营,5-10年,本科,,http://www.zhaopin.com/jobdetail/CC385622410J40748817606.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,['内饰设计'],25000.0,300000.0,5-10年,本科,7.5,20K-30K,True
中餐厅招聘洗碗工/包吃住/可就近,5000-7000元,5000.0,7000.0,12,众腾人力资源集团有限公司,20-99人,上市公司,人力资源服务,北京,海淀·万寿路,无经验,学历不限,,http://www.zhaopin.com/jobdetail/CC459533920J40795363913.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['中餐厅', '包吃包住', '节日福利', '月休6天', '五险一金', '工龄奖金']",6000.0,72000.0,0年,不限,0.0,5K-10K,True
人事招聘专员,5000-6000元,5000.0,6000.0,12,北京企联众创科技有限公司,20-99人,民营,互联网,北京,丰台·看丹,1-3年,大专,,http://www.zhaopin.com/jobdetail/CC463149580J40751306413.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,['销售岗位招聘'],5500.0,66000.0,1-3年,大专,2.0,5K-10K,True
行政专员,5000-7000元,5000.0,7000.0,12,北京鸿坤瑞邦物业管理有限公司,1000-9999人,股份制企业,物业管理,北京,大兴,经验不限,本科,,http://www.zhaopin.com/jobdetail/CC136429540J40855922913.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,[],6000.0,72000.0,不限,本科,,5K-10K,True
医疗器械售后工程师,8000-13000元·13薪,8000.0,13000.0,13,北京佳诚明博科贸有限公司,20-99人,民营,医疗设备/器械,北京,海淀·海淀街道,1-3年,学历不限,,http://www.zhaopin.com/jobdetail/CC475917820J40733098213.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['体外诊断试剂', '检验科器械']",10500.0,136500.0,1-3年,不限,2.0,10K-15K,True
检具设计工程师,1.2-1.6万,12000.0,16000.0,12,北京京安恒创科技发展有限公司,20人以下,民营,专用设备制造,北京,顺义·高丽营,1-3年,中专/中技,,http://www.zhaopin.com/jobdetail/CCL1418052920J40663592904.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,['UG'],14000.0,168000.0,1-3年,中专,2.0,10K-15K,True
库房管理员,4000-5000元,4000.0,5000.0,12,北京网信物业管理有限公司,1000-9999人,其它,物业管理,北京,海淀,1-3年,中专/中技,,http://www.zhaopin.com/jobdetail/CC146285100J40860978413.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,['库房管理'],4500.0,54000.0,1-3年,中专,2.0,5K以下,True
质量专家,3-5万,30000.0,50000.0,12,北京凌空天行科技有限责任公司,300-499人,民营,船舶/航空/航天/火车制造,北京,大兴·荣华街道,5-10年,本科,,http://www.zhaopin.com/jobdetail/CC846349280J40861563913.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['国军标质量管理体系', '航空航天质量管理体系', 'GJB认证', 'GB/T认证']",40000.0,480000.0,5-10年,本科,7.5,30K-50K,True
人事招聘专员,4000-5000元,4000.0,5000.0,12,北京京南顺利建筑工程有限公司,20-99人,民营,工程施工,北京,房山·西潞,3-5年,本科,,http://www.zhaopin.com/jobdetail/CC218430580J40110972614.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['人力资源管理', '资料管理', '招聘', '员工关系', '企业文化']",4500.0,54000.0,3-5年,本科,4.0,5K以下,True
仓储主管/经理（水果加工行业）,1-1.8万,10000.0,18000.0,12,鑫荣懋集团,1000-9999人,股份制企业,农/林/牧/渔,北京,大兴·长子营,5-10年,大专,,http://www.zhaopin.com/jobdetail/CC136398060J40235896014.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,"['仓储管理', '收发货流程', '流程制度', '团队管理', '零售水果行业', '物流收发货系统', 'ERP WMS系统']",14000.0,168000.0,5-10年,大专,7.5,10K-15K,True
库房管理员,6000-8000元,6000.0,8000.0,12,北京华众创力科技有限公司,20人以下,社会团体,电子/半导体/集成电路,北京,昌平·城北,1-3年,中专/中技,,http://www.zhaopin.com/jobdetail/CC832270380J40742698914.htm?refcode=4019&srccode=401903&preactionid=8a4dff81-df0f-472f-91d3-212b89db1b3a,['加工仓'],7000.0,84000.0,1-3年,中专,2.0,5K-10K,True
旅行社计调,6000-9000元,6000.0,9000.0,12,北京盛恒国际旅行社有限公司,旅游服务,20-99人,,北京,大兴,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CCL1483725840J40854883613.htm?refcode=4019&srccode=401903&preactionid=6b0c4e3e-0b2e-4cf6-8df5-d686bbd7ce98,"['有一定的抗压能力', '态度端正 有上进心']",7500.0,90000.0,不限,不限,,5K-10K,True
招聘普工/操作工 加班费 包住,7000-8000元,7000.0,8000.0,12,众腾人力资源集团有限公司,500-999人,上市公司,人力资源服务,北京,密云·西田各庄,经验不限,学历不限,,http://www.zhaopin.com/jobdetail/CC459533920J40860315513.htm?refcode=4019&srccode=401903&preactionid=6b0c4e3e-0b2e-4cf6-8df5-d686bbd7ce98,"['厂内食堂', '恒温车间', '包住', '月休四天', '长白班', '做六休一', '月结', '日结', '包装工', '组装工', '检验员']",7500.0,90000.0,不限,不限,,5K-10K,True
司管车管专员,7000-10000元,7000.0,10000.0,12,北京郡祥顺通货物运输有限公司,货运/物流/仓储,20-99人,,北京,房山·窦店,1-3年,大专,,http://www.zhaopin.com/jobdetail/CC830078410J40755137214.htm?refcode=4019&srccode=401903&preactionid=6b0c4e3e-0b2e-4cf6-8df5-d686bbd7ce98,['C1驾驶证'],8500.0,102000.0,1-3年,大专,2.0,5K-10K,True
行政专员（昌平南邵）,6000-7000元,6000.0,7000.0,12,北京雪迪龙,1000-9999人,上市公司,环保,北京,昌平·南邵,1-3年,大专,,http://www.zhaopin.com/jobdetail/CC132415440J40904373015.htm?refcode=4019&srccode=401903&preactionid=6b0c4e3e-0b2e-4cf6-8df5-d686bbd7ce98,"['固定资产管理', '资料管理', '考勤管理', '办公用品管理', '内勤管理']",6500.0,78000.0,1-3年,大专,2.0,5K-10K,True
